Data structure size: 91811482368 bits, construction time: 90694315416 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,534.181,535.418,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,317.519,314.14,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1264.75,1261.33,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,631.311,624.608,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1357.32,1349.42,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,869.209,860.856,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1311.75,1304.19,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,804.948,795.442,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,989.024,980.002,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,962.041,953.187,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1321.05,1311.25,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,1356.61,1347.35,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,1567.62,1557.3,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,1558.16,1548.24,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,1586.36,1577.34,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,1858.11,1848.8,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,1857.36,1849,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,1841.21,1832.36,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,1838.1,1828.24,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,2146.41,2138.22,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,2449.46,2441.04,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,2504.68,2495.82,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,2497.04,2488.25,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,2837.21,2829.64,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,2855.11,2846.39,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,2886.33,2878.76,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,2887.26,2878.61,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,2907.95,2899.76,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,3328.65,3320.31,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,3549.54,3541.54,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,3636.47,3628.78,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,4036.83,4028.26,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,4065.07,4057.55,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,4116.68,4108.78,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,4163.27,4155.3,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,4967.92,4960.08,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,5028.43,5021.44,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,6985.23,6978.96,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,7164.75,7156.21,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,10776.3,10766.9,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,10769.5,10758.4,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,10770.4,10761.9,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,10826.5,10815.9,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,10799.3,10788.3,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,10826.8,10815.9,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,10808.5,10798.2,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,10944,10932.6,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,10935.9,10923.8,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,10929.8,10919.4,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,10934.7,10923.5,ns,,,,,,0,0,500000,10062
