Data structure size: 91888814656 bits, construction time: 81820835407 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,587.395,587.929,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,285.123,281.843,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1206.95,1201.3,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,588.326,581.465,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1288.89,1280.83,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,769.962,760.671,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1148.71,1139.55,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,715.969,705.863,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,885.315,875.76,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,807.256,796.536,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1022.69,1013.91,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,1048.48,1040.22,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,1120.16,1112.81,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,1119.22,1111.29,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,1113.24,1104.87,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,1243.59,1235.85,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,1237.52,1230.44,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,1248.81,1241.49,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,1247.28,1239.92,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,1356.58,1349.5,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,1488.41,1480.33,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,1494.43,1487.02,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,1522.91,1514.97,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,1626.05,1620.4,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,1633.83,1627.76,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,1658.86,1653.07,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,1649.82,1643.97,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,1652.74,1646.26,ns,,,,,,0,0,1000,13699
