Data structure size: 91821313152 bits, construction time: 78855381870 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1173.93,1176.28,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,1042.09,1040.1,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,2641.73,2636.45,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,1522.29,1518.36,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,3181.39,3175.96,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,2339.48,2334.37,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,3548.62,3543.02,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,1852.98,1847.93,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,2712.25,2706.61,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,2568,2562.29,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,3330.97,3323.88,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,3481.52,3474.11,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,3731.59,3723.73,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,3770.62,3764.76,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,3728.11,3721.76,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,4041.14,4032.84,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,4013.31,4004.15,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,4057.27,4049.58,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,4002.87,3996.26,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,4308.69,4301.95,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,4598.75,4590.86,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,4610.3,4602.38,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,4638.3,4629.88,ns,,,,,,0,0,500,14009
