Data structure size: 91888814656 bits, construction time: 38164785482 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,216.261,216.902,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,229.373,230.266,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,816.763,815.749,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,632.579,630.635,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1346.6,1342.46,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,772.993,768.334,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,843.831,839.26,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,829.659,825.356,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,834.463,829.347,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,848.462,842.951,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,955.743,951.196,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,992.453,988.303,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1056.09,1051.52,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1075.43,1070.56,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1089.84,1085.85,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1117.16,1113.26,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1131.25,1127.41,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1167,1162.67,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1163.85,1160.42,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1256.85,1253.65,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,1383.13,1380.34,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,1429.65,1426.78,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,1492.83,1489.47,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,1601.91,1598.16,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,1591.37,1588.13,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,1595.42,1592.46,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,1611.5,1607.34,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,1628.08,1625.46,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,1800.79,1797.2,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,1923.31,1920.16,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,1920.77,1918.06,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,2228.68,2224.97,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,2253.56,2250.18,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,2235.46,2231.74,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,2245.87,2243.41,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,2542.58,2539.58,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,2584.83,2582.08,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,3115.07,3112.26,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,3102.72,3100.04,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,3966.93,3967.67,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,3991.02,3991.89,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,3969.52,3969.61,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,3962.89,3963.35,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,3988.59,3988.34,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,3969.39,3969.42,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,4010.32,4011.62,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3988.12,3988.84,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,3956.95,3956.86,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,3965.09,3966.72,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,3992.73,3994.13,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,3963.65,3964.39,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,3973.51,3972.6,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,4008.63,4008.53,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,3988.3,3987.84,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,3966.14,3966.86,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,4000.2,4001.35,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,3967.93,3968.25,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,3968.63,3968.29,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,3998.97,3998.78,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,3969.39,3969.33,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,4013.59,4012.38,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,3998.96,4000.01,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,3969.48,3970.66,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,3965.58,3965.14,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,3982.03,3982.05,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,3971.28,3971.87,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,3974.85,3974.74,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,3982.42,3982.58,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,3961.4,3962.13,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,3951.8,3952.18,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3962.05,3962.71,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3943.76,3942.09,ns,,,,,,0,0,9e+07,10000
