Data structure size: 91837697152 bits, construction time: 41636656077 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,245.548,247.912,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,295.13,297.553,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,981.902,980.196,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,747.131,746.044,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1665.25,1661.68,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,976.25,973.238,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,1142.99,1139.5,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,1114.49,1112.07,ns,,,,,,0,9,8,2.84548e+06
"BM_run/9/iterations:10000",10000,1115.47,1112.63,ns,,,,,,0,4,9,2.38462e+06
"BM_run/10/iterations:10000",10000,1120.32,1118.18,ns,,,,,,0,9,10,2.10077e+06
"BM_run/20/iterations:10000",10000,1206.92,1204.88,ns,,,,,,0,9,20,970235
"BM_run/30/iterations:10000",10000,1268.48,1266.46,ns,,,,,,0,2,30,565345
"BM_run/40/iterations:10000",10000,1313.45,1309.8,ns,,,,,,0,4,40,405119
"BM_run/50/iterations:10000",10000,1336.15,1333.86,ns,,,,,,0,4,50,306863
"BM_run/60/iterations:10000",10000,1345.55,1343.88,ns,,,,,,0,6,60,255801
"BM_run/70/iterations:10000",10000,1339.27,1336.61,ns,,,,,,0,7,70,240016
"BM_run/80/iterations:10000",10000,1370.95,1367.24,ns,,,,,,0,8,80,212291
"BM_run/90/iterations:10000",10000,1390.49,1388.54,ns,,,,,,0,2,90,212683
"BM_run/100/iterations:10000",10000,1385.19,1383.3,ns,,,,,,0,5,100,183307
"BM_run/200/iterations:10000",10000,1461.42,1458.89,ns,,,,,,0,4,200,146169
"BM_run/300/iterations:10000",10000,1580.01,1578.47,ns,,,,,,0,5,300,117737
"BM_run/400/iterations:10000",10000,1595.29,1593.65,ns,,,,,,0,2,400,100659
"BM_run/500/iterations:10000",10000,1654.23,1652.83,ns,,,,,,0,2,500,87728
"BM_run/600/iterations:10000",10000,1748.45,1747.54,ns,,,,,,0,8,600,80408
"BM_run/700/iterations:10000",10000,1769.72,1768.86,ns,,,,,,0,5,700,72011
"BM_run/800/iterations:10000",10000,1779.67,1778.34,ns,,,,,,0,4,800,56997
"BM_run/900/iterations:10000",10000,1784.5,1782.87,ns,,,,,,0,4,900,53101
"BM_run/1000/iterations:10000",10000,1799.92,1798.41,ns,,,,,,0,5,1000,45501
"BM_run/2000/iterations:10000",10000,1938.59,1936.55,ns,,,,,,0,3,2000,22349
"BM_run/3000/iterations:10000",10000,2058.27,2056.48,ns,,,,,,0,3,3000,17078
"BM_run/4000/iterations:10000",10000,2068.17,2066.77,ns,,,,,,0,4,4000,16089
"BM_run/5000/iterations:10000",10000,2232.03,2229.86,ns,,,,,,0,5,5000,13966
"BM_run/6000/iterations:10000",10000,2227.46,2226.15,ns,,,,,,0,6,6000,12370
"BM_run/7000/iterations:10000",10000,2244.37,2242.38,ns,,,,,,0,4,7000,12011
"BM_run/8000/iterations:10000",10000,2243.37,2241.39,ns,,,,,,0,2,8000,10971
"BM_run/9000/iterations:10000",10000,2528.38,2526.8,ns,,,,,,0,3,9000,11701
"BM_run/10000/iterations:10000",10000,2517.82,2516.79,ns,,,,,,0,2,10000,11075
"BM_run/20000/iterations:10000",10000,3013.13,3011.95,ns,,,,,,0,12,20000,10161
"BM_run/30000/iterations:10000",10000,3016.29,3015.12,ns,,,,,,0,4,30000,10005
"BM_run/40000/iterations:10000",10000,3858.99,3860.38,ns,,,,,,0,6,40000,10001
"BM_run/50000/iterations:10000",10000,3848.67,3849.98,ns,,,,,,0,1,50000,10000
"BM_run/60000/iterations:10000",10000,3834.1,3835.64,ns,,,,,,0,9,60000,10000
"BM_run/70000/iterations:10000",10000,3856.73,3857.2,ns,,,,,,0,5,70000,10000
"BM_run/80000/iterations:10000",10000,3849.34,3851.61,ns,,,,,,0,8,80000,10000
"BM_run/90000/iterations:10000",10000,3845.27,3847.49,ns,,,,,,0,3,90000,10000
"BM_run/100000/iterations:10000",10000,3857.13,3858.9,ns,,,,,,0,4,100000,10000
"BM_run/200000/iterations:10000",10000,3853.96,3854.72,ns,,,,,,0,5,200000,10000
"BM_run/300000/iterations:10000",10000,3854.64,3856.15,ns,,,,,,0,7,300000,10000
"BM_run/400000/iterations:10000",10000,3854.49,3856.97,ns,,,,,,0,3,400000,10000
"BM_run/500000/iterations:10000",10000,3840.92,3842.52,ns,,,,,,0,5,500000,10000
"BM_run/600000/iterations:10000",10000,3844.99,3846.65,ns,,,,,,0,7,600000,10000
"BM_run/700000/iterations:10000",10000,3835.79,3838.03,ns,,,,,,0,7,700000,10000
"BM_run/800000/iterations:10000",10000,3859.89,3860.79,ns,,,,,,0,5,800000,10000
"BM_run/900000/iterations:10000",10000,3847.5,3849.5,ns,,,,,,0,7,900000,10000
"BM_run/1000000/iterations:10000",10000,3845.2,3846.68,ns,,,,,,0,5,1e+06,10000
"BM_run/2000000/iterations:10000",10000,3826.44,3828.54,ns,,,,,,0,6,2e+06,10000
"BM_run/3000000/iterations:10000",10000,3847.37,3848.78,ns,,,,,,0,5,3e+06,10000
"BM_run/4000000/iterations:10000",10000,3836.54,3838.83,ns,,,,,,0,9,4e+06,10000
"BM_run/5000000/iterations:10000",10000,3872.37,3874.62,ns,,,,,,0,3,5e+06,10000
"BM_run/6000000/iterations:10000",10000,3839.06,3840.4,ns,,,,,,0,3,6e+06,10000
"BM_run/7000000/iterations:10000",10000,3849.82,3850.61,ns,,,,,,0,9,7e+06,10000
"BM_run/8000000/iterations:10000",10000,3871.13,3873.28,ns,,,,,,0,3,8e+06,10000
"BM_run/9000000/iterations:10000",10000,3846.19,3848.74,ns,,,,,,0,6,9e+06,10000
"BM_run/10000000/iterations:10000",10000,3847.61,3849.49,ns,,,,,,0,5,1e+07,10000
"BM_run/20000000/iterations:10000",10000,3856.38,3856.38,ns,,,,,,0,7,2e+07,10000
"BM_run/30000000/iterations:10000",10000,3855.64,3856.06,ns,,,,,,0,8,3e+07,10000
"BM_run/40000000/iterations:10000",10000,3848.39,3850.35,ns,,,,,,0,5,4e+07,10000
