Data structure size: 91821313152 bits, construction time: 86963407046 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1180.08,1181.59,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,882.227,883.312,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,2057.15,2058.6,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,1401.43,1401.1,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,2678.77,2677.01,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,1759.38,1756.92,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,2282.87,2279.67,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,2114.46,2111.09,ns,,,,,,0,7,8,2.84548e+06
"BM_run/9/iterations:10000",10000,2210.48,2207.62,ns,,,,,,0,8,9,2.38462e+06
"BM_run/10/iterations:10000",10000,2240.77,2238.13,ns,,,,,,0,5,10,2.10077e+06
"BM_run/20/iterations:10000",10000,2365.77,2362.34,ns,,,,,,0,9,20,970235
"BM_run/30/iterations:10000",10000,2513.17,2508.19,ns,,,,,,0,12,30,565345
"BM_run/40/iterations:10000",10000,2555.6,2552.52,ns,,,,,,0,9,40,405119
"BM_run/50/iterations:10000",10000,2670.97,2666.91,ns,,,,,,0,8,50,306863
"BM_run/60/iterations:10000",10000,2805.46,2802.14,ns,,,,,,0,4,60,255801
"BM_run/70/iterations:10000",10000,2823.02,2819.37,ns,,,,,,0,8,70,240016
"BM_run/80/iterations:10000",10000,2863.09,2857.79,ns,,,,,,0,4,80,212291
"BM_run/90/iterations:10000",10000,2948.82,2945.04,ns,,,,,,0,7,90,212683
"BM_run/100/iterations:10000",10000,2987.37,2983.42,ns,,,,,,0,3,100,183307
"BM_run/200/iterations:10000",10000,3231.37,3225.34,ns,,,,,,0,8,200,146169
"BM_run/300/iterations:10000",10000,3505.19,3501.06,ns,,,,,,0,8,300,117737
"BM_run/400/iterations:10000",10000,3634.32,3629.4,ns,,,,,,0,5,400,100659
"BM_run/500/iterations:10000",10000,3735.44,3730.79,ns,,,,,,0,4,500,87728
"BM_run/600/iterations:10000",10000,4012.14,4007.35,ns,,,,,,0,4,600,80408
"BM_run/700/iterations:10000",10000,4083.75,4079.36,ns,,,,,,0,4,700,72011
"BM_run/800/iterations:10000",10000,4099.25,4093.37,ns,,,,,,0,2,800,56997
