Data structure size: 13421773248 bits, construction time: 3404705458 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,2.16442e+07,2.16326e+07,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,1.35057e+06,1.34984e+06,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,87493.1,87445.4,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,9304.65,9299.45,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,3621,3620.3,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,2795.66,2793.31,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,2703.46,2702.4,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,2615.81,2614.78,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,2539.31,2537.29,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,2462.17,2459.39,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,2349.65,2348.25,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,2510.55,2508.14,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,2551.84,2550.67,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,2499.87,2498.77,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,2493.65,2491.98,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,2505.62,2504.04,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,2489.3,2488.18,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,2474.48,2472.31,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,2460.32,2459.39,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,2528.3,2526.8,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,2604.58,2603.56,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,2578.6,2577.77,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,2653.55,2651.38,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,2704.98,2702.54,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,2762.82,2760.34,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,2741.67,2739.4,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,2823.35,2821.67,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,2863.62,2862.16,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,3305.52,3303.12,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,3691.48,3688.04,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,4088.86,4085.96,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,4576.08,4572.17,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,4927.43,4922.51,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,5341.3,5335.67,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,5784.49,5778.32,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,6189.16,6183.07,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,6547.17,6540.83,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,10634.7,10623.6,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,14751.4,14737.8,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,18739.7,18722.6,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,22808.9,22788.8,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,27002.5,26977.4,ns,,,,,,0,0,60000,10000
