Data structure size: 91888814656 bits, construction time: 35163152543 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,166.76,167.129,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,166.207,167.371,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,191.642,192.193,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,208.469,209.684,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,315.152,315.412,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,496.53,496.016,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,623.318,621.118,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,645.547,642.99,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,767.698,764.645,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,701.96,698.588,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,951.868,947.291,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,949.97,946.114,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,954.839,950.321,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,951.496,947.297,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,958.594,954.287,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,948.266,944.159,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,948.64,944.194,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,950.145,945.758,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,948.61,944.501,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,948.92,944.625,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,949.931,945.554,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,954.618,950.201,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,950.926,946.484,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,949.834,945.221,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,951.601,946.884,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,945.757,941.525,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,950.409,946.099,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,951.025,946.574,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,956.526,951.56,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,951.996,947.739,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,952.743,948.216,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,951.611,945.885,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,951.369,946.907,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,949.987,945.599,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,953.423,949.126,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,950.847,946.534,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,950.991,946.799,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,957.578,953.158,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,949.701,945.273,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,950.51,945.461,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,957.978,953.277,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,954.557,949.817,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,954.12,949.56,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,950.236,946.279,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,952.303,948.106,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,948.76,944.252,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,950.96,947.072,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,949.547,945.326,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,949.903,945.557,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,948.914,944.917,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,951.104,946.586,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,950.507,946.171,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,950.203,946.086,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,954.234,949.402,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,946.005,941.514,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,954.583,950.536,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,954.341,949.724,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,949.627,944.778,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,952.841,948.54,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,954.637,950.187,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,950.258,945.953,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,964.95,960.354,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,950.985,946.91,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,952.104,948.021,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,949.361,944.942,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,950.542,945.708,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,951.197,947.102,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,954.813,950.033,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,956.002,951.3,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,949.842,945.265,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,958.646,953.892,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,951.948,947.482,ns,,,,,,0,0,9e+07,10000
