Data structure size: 108985007360 bits, construction time: 39541394325 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,178.306,180.445,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,178.734,180.851,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,218.619,219.168,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,230.425,231.539,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,398.245,398.567,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,643.15,642.429,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,849.262,847.357,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,677.856,675.33,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,1033.74,1030.05,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,1163.81,1158.85,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1714.08,1709.85,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,1727.04,1723.29,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1719.97,1715.6,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1722.78,1718.25,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1726.84,1722.83,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1716.54,1710.86,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1735.39,1730.98,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1731.53,1727.75,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1733.62,1729.65,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1728.56,1724.17,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1728.31,1723.25,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1738.84,1733.83,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1730.65,1726.33,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1730.38,1725.68,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1724.92,1720.76,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1712.54,1708.73,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1710.4,1705.68,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1774.68,1770.08,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1737.84,1733.77,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1713.99,1710.29,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1713.85,1709.25,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1730.92,1726.66,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1728.2,1724.33,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1734.04,1730,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1733.36,1729.01,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1722.53,1718.32,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1716.82,1712.46,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1758.06,1753.86,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1758.07,1753.04,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1717.23,1713.67,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1729.21,1725.2,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1739.74,1735.13,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1717.36,1712.97,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1710.91,1706.19,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1725.58,1721.45,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,1736.79,1732.87,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,1731.5,1727.33,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,1730.81,1726.61,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,1739.11,1735.01,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,1748.27,1743.4,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,1744.88,1740.84,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,1711.73,1708.13,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,1732.05,1727.66,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,1718.05,1713.48,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,1746.83,1741.99,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,1740.93,1735.46,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,1729.22,1724.63,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,1722.74,1718.15,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,1727.69,1722.4,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,1709.79,1705.14,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,1736.6,1732.76,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,1742.75,1737.93,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,1738.8,1734.81,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,1729.94,1725.54,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,1722.08,1717.93,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1724.47,1719.26,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1729.44,1725.23,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1759.33,1754.97,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,1746.95,1742.35,ns,,,,,,0,0,6e+07,10000
