Data structure size: 53166607488 bits, construction time: 30907758865 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1149.05,1151.11,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,1399.09,1400.14,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,5225.86,5224.03,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,1585.43,1583.25,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,2087.27,2085.36,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,2360.52,2357.94,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,2378.83,2377.03,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,2366.07,2362.8,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,2355.68,2352.72,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,2374.89,2371.32,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,2342.68,2340.27,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,2362.79,2358.95,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,2363.92,2360.8,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,2352.59,2348.61,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,2357.93,2354.18,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,2352.98,2349.44,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,2354.55,2351.31,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,2379.71,2377.07,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,2353.96,2350.3,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,2381.25,2377.14,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,2360.75,2356.96,ns,,,,,,0,0,300,10000
