Data structure size: 91811482368 bits, construction time: 86585813112 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,469.157,467.276,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,462.43,458.044,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,1974.38,1969.56,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,719.509,712.201,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1346.44,1337.32,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,982.719,974.252,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1285,1275.9,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,860.054,850.394,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,1002.07,992.938,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,1011.76,1002.4,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1220.32,1209.78,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1434.15,1421.47,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,1520.54,1510.42,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,1619.54,1610.33,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,1655.79,1644.69,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,1852.91,1842.73,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,1877.26,1867.15,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,1921.49,1912.98,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,1944.55,1934.7,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,2249.65,2239.78,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,2565.14,2555.54,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,2586.54,2577.37,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,2616.74,2606.04,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,3007.8,2998.87,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,3025.67,3016.17,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,3009.25,2999.12,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,3020.64,3007.52,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,3015.53,3005.85,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,3516.8,3507.29,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,3779.14,3769.15,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,3782.66,3768.19,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,4240.2,4230.05,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,4247.52,4237.18,ns,,,,,,0,0,6000,27413
