Data structure size: 108985007360 bits, construction time: 39249999848 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,527.577,527.299,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,395.922,393.076,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,1917.26,1912.83,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,650.075,645.829,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1397.02,1390.91,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,1249.46,1243.78,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1634.44,1627.6,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,847.146,839.638,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,1138.2,1130.85,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,1267.68,1259.84,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1479.83,1471.65,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1615.8,1608.24,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,1607.33,1599.3,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,1666.07,1657.99,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,1709.41,1701.52,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,1742.73,1734.26,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,1761.65,1754.25,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,1791.57,1784.19,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,1795.26,1786.92,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,1965.88,1958.63,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,2205.41,2198.88,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,2218.38,2211.7,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,2237.89,2231.52,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,2465.55,2458.15,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,2486.96,2480.15,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,2501.96,2495.85,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,2499.67,2492.98,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,2518.74,2511.92,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,2815.77,2808.62,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,3116.4,3108.93,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,3124.04,3116.69,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,3519.23,3510.27,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,3533.91,3524.91,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,3503.02,3495.51,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,3508.27,3501.98,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,4075.71,4067.82,ns,,,,,,0,0,9000,36058
"BM_run/10000/iterations:10000",10000,4056.34,4048.16,ns,,,,,,0,0,10000,35401
"BM_run/20000/iterations:10000",10000,4951.32,4944.16,ns,,,,,,0,0,20000,27279
"BM_run/30000/iterations:10000",10000,4960.16,4951.73,ns,,,,,,0,0,30000,15335
"BM_run/40000/iterations:10000",10000,6489.6,6484.43,ns,,,,,,0,0,40000,10685
"BM_run/50000/iterations:10000",10000,6484.71,6479.46,ns,,,,,,0,0,50000,14084
"BM_run/60000/iterations:10000",10000,6488.45,6482.77,ns,,,,,,0,0,60000,12024
"BM_run/70000/iterations:10000",10000,9430.28,9425.65,ns,,,,,,0,0,70000,10022
"BM_run/80000/iterations:10000",10000,9577.99,9574.97,ns,,,,,,0,0,80000,10645
"BM_run/90000/iterations:10000",10000,9610.69,9606.91,ns,,,,,,0,0,90000,10028
"BM_run/100000/iterations:10000",10000,9574.77,9570.73,ns,,,,,,0,0,100000,10016
"BM_run/200000/iterations:10000",10000,9576.89,9570.29,ns,,,,,,0,0,200000,10005
"BM_run/300000/iterations:10000",10000,9602.5,9598.32,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,9590.27,9586.98,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,9601.23,9595.66,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,9578.62,9575.58,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,9605.04,9601.99,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,9568.61,9565.19,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,9570.23,9567.92,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,9585.65,9581.22,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,9580.64,9575.2,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,9582.3,9577.12,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,9584.46,9578.09,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,9565.63,9561.19,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,9574.15,9570.36,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,9559.7,9555.15,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,9566.42,9561.79,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,9570.1,9564.72,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,9566.57,9562.31,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,9585.1,9580.66,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,9578.25,9573.8,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,9601.53,9597.37,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,9561.77,9557.12,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,9602.29,9598.28,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,9556.35,9552.05,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,9538.52,9533.64,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,9521.54,9516.9,ns,,,,,,0,0,9e+07,10000
