Data structure size: 6066656320 bits, construction time: 331257856339 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4058953,171.575,172.524,ns,,,,,,0,0,1,2.31478e+13
"BM_run/2",4131735,168.651,169.704,ns,,,,,,0,0,2,1.45626e+13
"BM_run/3",3750936,185.381,186.354,ns,,,,,,0,0,3,1.32205e+13
"BM_run/4",4109697,169.403,170.417,ns,,,,,,0,0,5,8.95219e+12
"BM_run/5",4069569,170.578,172.269,ns,,,,,,0,0,8,5.47873e+12
"BM_run/6",3636846,191.606,192.618,ns,,,,,,0,0,13,3.026e+12
"BM_run/7",3406416,204.428,205.462,ns,,,,,,0,0,21,1.75167e+12
"BM_run/8",3517284,198.5,199.306,ns,,,,,,0,0,34,1.11783e+12
"BM_run/9",2923868,238.076,239.403,ns,,,,,,0,0,55,5.74297e+11
"BM_run/10",3572602,194.789,195.845,ns,,,,,,0,0,89,4.33689e+11
"BM_run/11",1887678,370.549,370.588,ns,,,,,,0,0,144,1.41621e+11
"BM_run/12",2970746,235.369,235.474,ns,,,,,,0,0,233,1.37748e+11
"BM_run/13",3185643,219.386,219.73,ns,,,,,,0,0,377,9.12878e+10
"BM_run/14",2753185,254.484,254.148,ns,,,,,,0,0,610,4.87617e+10
"BM_run/15",2576611,271.666,271.73,ns,,,,,,0,0,987,2.8201e+10
"BM_run/16",2797478,249.361,250.418,ns,,,,,,0,0,1597,1.89249e+10
"BM_run/17",1748081,399.973,400.07,ns,,,,,,0,0,2584,7.30698e+09
"BM_run/18",1834532,381.989,381.481,ns,,,,,,0,0,4181,4.74043e+09
"BM_run/19",1265463,551.497,552.945,ns,,,,,,0,0,6765,2.01968e+09
"BM_run/20",1142081,610.345,612.433,ns,,,,,,0,0,10946,1.12723e+09
"BM_run/21",781350,890.357,894.983,ns,,,,,,0,0,17711,4.75842e+08
"BM_run/22",393125,1780.89,1784.14,ns,,,,,,0,0,28657,1.48208e+08
"BM_run/23",237743,2946.3,2945.11,ns,,,,,,0,0,46368,5.51564e+07
"BM_run/24",263945,2669.8,2669.35,ns,,,,,,0,0,75025,3.80081e+07
"BM_run/25",160280,4372.28,4368.55,ns,,,,,,0,0,121393,1.41046e+07
"BM_run/26",123849,5666.51,5664.48,ns,,,,,,0,0,196418,6.8117e+06
"BM_run/27",76326,9178.55,9175.84,ns,,,,,,0,0,317811,2.51876e+06
"BM_run/28",40030,17493.6,17512.2,ns,,,,,,0,0,514229,840630
"BM_run/29",22801,30759.5,30791.8,ns,,,,,,0,0,832040,273612
"BM_run/30",12556,56424.7,56384.7,ns,,,,,,0,0,1.34627e+06,100448
"BM_run/31",8071,88114.3,88041.4,ns,,,,,,0,0,2.17831e+06,32284
"BM_run/32",4836,146397,146288,ns,,,,,,0,0,3.52458e+06,14508
"BM_run/33",3604,194513,194338,ns,,,,,,0,0,5.70289e+06,3604
