Data structure size: 4993622080 bits, construction time: 4133067053 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",627759,1111.21,1115.06,ns,,,,,,0,0,1,3.58004e+12
"BM_run/2",777485,896.891,900.252,ns,,,,,,0,0,2,2.74031e+12
"BM_run/3",551773,1265.31,1269.53,ns,,,,,,0,0,3,1.94477e+12
"BM_run/4",768737,906.133,910.057,ns,,,,,,0,0,5,1.67455e+12
"BM_run/5",749787,930.756,933.688,ns,,,,,,0,0,8,1.00941e+12
"BM_run/6",726213,958.504,962.746,ns,,,,,,0,0,13,6.04238e+11
"BM_run/7",508815,1369.34,1374.74,ns,,,,,,0,0,21,2.61647e+11
"BM_run/8",734613,949.167,952.83,ns,,,,,,0,0,34,2.33468e+11
"BM_run/9",504558,1382.28,1387.28,ns,,,,,,0,0,55,9.91038e+10
"BM_run/10",705049,989.045,993.412,ns,,,,,,0,0,89,8.5588e+10
"BM_run/11",581970,1198.93,1204.04,ns,,,,,,0,0,144,4.36617e+10
"BM_run/12",655192,1064,1068.27,ns,,,,,,0,0,233,3.03799e+10
"BM_run/13",538778,1294.56,1299.32,ns,,,,,,0,0,377,1.54392e+10
"BM_run/14",673693,1034.48,1038.96,ns,,,,,,0,0,610,1.19318e+10
"BM_run/15",480435,1452.39,1456.72,ns,,,,,,0,0,987,5.25836e+09
"BM_run/16",620577,1122.01,1127.32,ns,,,,,,0,0,1597,4.1982e+09
"BM_run/17",506307,1378.02,1383.54,ns,,,,,,0,0,2584,2.11636e+09
"BM_run/18",558943,1249.13,1253.96,ns,,,,,,0,0,4181,1.44431e+09
"BM_run/19",380505,1835.66,1839.57,ns,,,,,,0,0,6765,6.07286e+08
"BM_run/20",418076,1669.17,1674.75,ns,,,,,,0,0,10946,4.12641e+08
"BM_run/21",279968,2498.28,2501.42,ns,,,,,,0,0,17711,1.70501e+08
"BM_run/22",230402,3038.36,3038.04,ns,,,,,,0,0,28657,8.68616e+07
"BM_run/23",152384,4594.41,4594.87,ns,,,,,,0,0,46368,3.53531e+07
"BM_run/24",124376,5629.76,5628.87,ns,,,,,,0,0,75025,1.79101e+07
"BM_run/25",78206,8951.88,8949.96,ns,,,,,,0,0,121393,6.88213e+06
"BM_run/26",52627,13302.5,13296.3,ns,,,,,,0,0,196418,2.89448e+06
"BM_run/27",33345,20985.2,20976.3,ns,,,,,,0,0,317811,1.10038e+06
"BM_run/28",21033,33304.1,33279.5,ns,,,,,,0,0,514229,441693
"BM_run/29",13079,53591.7,53550.7,ns,,,,,,0,0,832040,156948
"BM_run/30",8185,85656.4,85569.8,ns,,,,,,0,0,1.34627e+06,65480
"BM_run/31",5065,138374,138241,ns,,,,,,0,0,2.17831e+06,20260
"BM_run/32",3156,222222,222005,ns,,,,,,0,0,3.52458e+06,9468
"BM_run/33",1949,359619,359211,ns,,,,,,0,0,5.70289e+06,1949
