Data structure size: 91811481728 bits, construction time: 60059817251 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,468.021,467.042,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,418.173,414.496,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1572.35,1567.51,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,663.131,657.32,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,1056.45,1050.71,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,1130.22,1124.43,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,1347.63,1341.98,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,881.571,874.95,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,1067.4,1061.2,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,1211.35,1204.97,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,1521.17,1513.95,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,2018.44,2012.29,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1914.78,1907.84,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,2084.94,2077.11,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,2241.59,2234.49,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,2255.85,2248.19,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,2336.56,2329.34,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,2372.86,2365.86,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,2434.44,2426.5,ns,,,,,,0,0,100,100755
