Data structure size: 91811481728 bits, construction time: 85316799558 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,229.583,229.286,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,238.453,237.488,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,327.15,326.332,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,280.317,279.955,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,461.814,461.233,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,657.842,657.133,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,925.486,924.295,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,745.465,744.187,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,1148.36,1146.27,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,1284.56,1281.32,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,2010.33,2007.67,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,2164.26,2161.14,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,2431.43,2428.8,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,2426.49,2423.96,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,2444.91,2442.62,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,2733.54,2729.88,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,2721.69,2719.27,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,2746.93,2744.38,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,2735.03,2732.43,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,3038.68,3036.23,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,3345.04,3342.59,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,3349.7,3347.03,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,3356.84,3355.01,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,3695.77,3693.45,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,3694.14,3691.19,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,3696.69,3694.09,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,3715.41,3713.01,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,3694.59,3690.71,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,4102.13,4098.44,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,4634.02,4630.49,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,4664.24,4659.7,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,4631.51,4627.36,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,4637.47,4633.69,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,4670.39,4666.7,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,4647.72,4642.84,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,4647.75,4643.49,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,4643.16,4638.83,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,4673.29,4668.45,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,4648.98,4644.58,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,4656.99,4652.48,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,4674.42,4669.77,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,4653.38,4649.34,ns,,,,,,0,0,60000,10006
