Data structure size: 91811481728 bits, construction time: 96389594394 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,177.357,178.008,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,173.092,173.629,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,207.513,207.862,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,221.77,222.108,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,333.892,333.474,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,497.065,493.281,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,631.64,629.81,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,673.53,671.306,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,792.599,788.294,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,749.227,745.146,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,1187.73,1181.56,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1314.39,1309.99,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1483.9,1478.97,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1507.61,1502.56,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1520.64,1516.13,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1767.02,1761.86,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1777.03,1771.81,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1796.56,1792.38,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1771.69,1766.74,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,2053.75,2050.1,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,2379.61,2374.14,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,2379.89,2376.17,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,2386.61,2382.42,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,2793.57,2787.4,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,2749.33,2745.46,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,2732.78,2729,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,2732.11,2728.64,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,2743.47,2740.3,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,3224.76,3220.8,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,3465.21,3461.52,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,3465.87,3460.77,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,3471.07,3465.28,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,3497.82,3495.1,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,3460.38,3457.65,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,3460.42,3458.14,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,3473.88,3470.33,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,3502.81,3497.56,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,3486.77,3482.62,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,3486.87,3481.05,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,3471.55,3468.81,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,3508.06,3504.2,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,3468.69,3465.42,ns,,,,,,0,0,60000,10006
