Data structure size: 91888814016 bits, construction time: 34584969206 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,175.365,175.792,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,174.787,175.059,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,207.304,208.025,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,211.523,212.123,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,318.991,318.813,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,478.558,478.122,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,612.852,611.492,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,647.901,646.134,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,787.251,783.775,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,724.996,720.96,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,963.702,958.793,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1035.39,1031.11,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1106.94,1103.32,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1123.97,1120.07,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1141.05,1137.02,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1230.4,1226.9,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1234.94,1231.19,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1244.8,1241.25,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1241.24,1237.39,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,1367.51,1364.09,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,1496.15,1493.64,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,1496.09,1492.55,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,1497.18,1494.29,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,1659.7,1656.89,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,1648.22,1646.02,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,1646.13,1643.28,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,1660.19,1657.02,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,1657.69,1655.62,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,1877.23,1874.69,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,2029.27,2027.06,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,2060.68,2058.48,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,2051.02,2048.47,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,2052.52,2050.2,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,2032.51,2029.99,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,2033.2,2030.87,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,2031.07,2028.42,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,2017.7,2014.81,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,2025.52,2023.15,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,2050.65,2048.09,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,2028.85,2026.59,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,2009.57,2007.07,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,2024.17,2021.46,ns,,,,,,0,0,60000,10006
"BM_run/70000/iterations:10000",10000,2029.1,2026.34,ns,,,,,,0,0,70000,10002
"BM_run/80000/iterations:10000",10000,2047.96,2045.56,ns,,,,,,0,0,80000,10001
"BM_run/90000/iterations:10000",10000,2051.75,2049.91,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2019.95,2017.62,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,2031.17,2029.04,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,2029.64,2028.05,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,2024.98,2022.33,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,2044.98,2043,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,2038.65,2036.74,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,2030.11,2028.13,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,2024.24,2021.63,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,2043.39,2041.11,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,2029.06,2026.98,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,2038.87,2036.74,ns,,,,,,0,0,2e+06,10000
