Data structure size: 13421773248 bits, construction time: 2900427833 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,8.91482e+07,8.91018e+07,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,2.58257e+07,2.58122e+07,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,7.2009e+06,7.1971e+06,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,1.97496e+06,1.9739e+06,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,550234,549936,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,158336,158248,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,50322.1,50292,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,17804.5,17791.8,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,9018.82,9012.57,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,5547.15,5543.4,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,2310.12,2306.62,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,2484.65,2481.58,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,2621.52,2616.98,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,2634.15,2631.43,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,2668.45,2666.09,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,2685.95,2683.11,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,2674.14,2671.03,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,2651.71,2648.94,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,2680.61,2677.28,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,2707.35,2703.72,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,2765.46,2762.54,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,2785.6,2782.75,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,2826.23,2822.72,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,2843.73,2841.32,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,2898.37,2894.55,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,2967.56,2963.24,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,2997.73,2993.88,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,3044.24,3040.79,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,3458.36,3453.79,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,3894.19,3890.03,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,4330.44,4324.92,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,4711.64,4705.89,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,5172.82,5166.59,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,5533.09,5525.94,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,5927.04,5920.95,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,6372.82,6365.68,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,6745.4,6738.5,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,10875.7,10864.7,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,14934.6,14920.1,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,18983.2,18965,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,23090.9,23070.1,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,27188.1,27160.1,ns,,,,,,0,0,60000,10006
"BM_run/70000/iterations:10000",10000,31246.2,31217.5,ns,,,,,,0,0,70000,10002
"BM_run/80000/iterations:10000",10000,35296.1,35262.2,ns,,,,,,0,0,80000,10001
