Data structure size: 13421773248 bits, construction time: 3262422283 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,2.53549e+07,2.53401e+07,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,2.80755e+06,2.8059e+06,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,675952,675555,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,248535,248365,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,99093.6,99012.3,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,28858,28827.4,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,14739.9,14721,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,8157.01,8144.72,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,5076.61,5065.38,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,3908.92,3897.8,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,2551.43,2543.13,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,2731.04,2723.06,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,3036.42,3026.28,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,2970.31,2959.39,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,2934.75,2924.33,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,2996.55,2985.38,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,2960.29,2951.14,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,2996.82,2985.91,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,3010.99,3001.99,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,3033.73,3027.78,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,3115.3,3102.24,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,3164.82,3157.38,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,3216.44,3209.81,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,3288.23,3275.46,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,3342.54,3331.26,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,3399.8,3388.36,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,3434.84,3422.82,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,3503.91,3494.73,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,4076.37,4069.35,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,4568.16,4553.87,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,5099.38,5088.82,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,5626.59,5606.24,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,6070.84,6054.32,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,6644.13,6623.71,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,7093.41,7067.7,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,7610.05,7586.88,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,8057.67,8035.69,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,12748.7,12729.6,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,17368.3,17344.1,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,21932,21894.9,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,26311.2,26275.5,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,30658.5,30622.6,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,34950.7,34915.8,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,39280.3,39235.1,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,43676.2,43630.5,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,47984.7,47933.3,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,90984.1,90887.3,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,133365,133224,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,175203,174976,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,217558,217294,ns,,,,,,0,0,500000,10062
"BM_run/600000/iterations:10000",10000,259084,258763,ns,,,,,,0,0,600000,10043
"BM_run/700000/iterations:10000",10000,301741,301384,ns,,,,,,0,0,700000,10031
