Data structure size: 91818035328 bits, construction time: 40634100377 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,211.799,212.53,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,229.602,230.396,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,809.936,809.302,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,649.587,647.504,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1344.78,1341.19,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,808.759,805.308,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,852.999,849.382,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,847.655,843.139,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,845.961,842.288,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,852.093,848.192,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,926.777,923.085,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,965.854,962.674,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1017.67,1013.5,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1039.92,1036.61,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1037.5,1034.1,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1069.15,1066.16,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1096.38,1093.27,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1097.18,1094.23,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1118.62,1116.17,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1186.26,1183.67,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,1266.09,1263.67,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,1278.66,1276.24,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,1332.97,1331.68,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,1460.24,1457.54,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,1472.81,1471.03,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,1474.75,1473.11,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,1470.56,1469.31,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,1489.18,1487.77,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,1621.34,1619.37,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,1749.22,1746.62,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,1744.47,1741.7,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,1917.22,1915.31,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,1924.13,1922.49,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,1918.26,1916.68,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,1928.99,1927.25,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,2171.72,2170.5,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,2182.55,2180.7,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,2651.06,2650.76,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,2653.05,2652.61,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,3496.67,3497.91,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,3488.19,3489.66,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,3491.91,3492.93,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,3487.25,3489.15,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,3483.28,3484.56,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,3484.15,3485.75,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,3511.93,3512.54,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3497.03,3498.91,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,3508.16,3509.68,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,3488.76,3490.26,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,3491.45,3494.28,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,3485.63,3487.23,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,3494.18,3495.28,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,3492.93,3495.06,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,3479.78,3481.53,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,3481.65,3482.83,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,3478.62,3480.77,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,3501.08,3501.79,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,3477,3478.72,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,3511.81,3513.49,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,3489.52,3492.03,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,3498.51,3500.48,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,3505.33,3506.3,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,3501.73,3503.02,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,3496,3497.67,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,3489.89,3492.06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,3494.13,3496,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,3489.25,3491.68,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,3476.11,3479.18,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,3479.92,3482.37,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,3480.92,3481.86,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3483.09,3485.02,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3472.51,3473.47,ns,,,,,,0,0,9e+07,10000
