Data structure size: 91818035328 bits, construction time: 42703966985 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,168.189,168.286,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,168.786,169.547,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,193.402,195.85,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,213.942,214.185,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,324.736,325.34,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,530.18,529.554,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,624.621,623.475,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,677.27,675.187,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,784.297,781.555,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,725.025,721.508,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,870.335,865.892,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,866.572,862.55,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,865.149,861.347,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,867.24,863.677,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,874.684,870.992,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,869.333,865.497,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,865.727,861.533,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,874.588,870.672,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,860.195,856.193,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,874.781,870.767,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,863.9,859.798,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,861.668,857.334,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,880.711,876.182,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,873.281,868.886,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,866.036,861.879,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,861.237,857.175,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,871.354,867.759,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,869.586,865.209,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,868.041,863.125,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,862.021,858.048,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,862.903,859.314,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,879.403,875.134,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,867.859,864.163,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,860.031,856.247,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,866.272,861.98,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,868.059,864.042,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,870.434,865.916,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,874.973,870.749,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,863.915,859.896,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,874.998,871.213,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,863.53,859.654,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,861.015,857.312,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,867.906,864.02,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,867.282,863.171,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,866.372,862.145,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,869.374,865.006,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,864.725,860.643,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,867.348,863.121,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,869.978,866.339,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,863.943,859.944,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,865.812,861.808,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,869.512,865.287,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,861.498,857.472,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,867.704,863.584,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,871.091,867.077,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,864.232,860.53,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,874.176,870.371,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,888.525,883.473,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,872.013,868.307,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,865.387,860.892,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,865.299,861.268,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,865.819,861.663,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,869.099,865.038,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,874.925,871.321,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,865.006,860.456,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,881.436,877.087,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,869.031,864.507,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,865.735,861.324,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,864.736,860.509,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,860.457,856.316,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,863.511,859.788,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,863.116,858.758,ns,,,,,,0,0,9e+07,10000
