Data structure size: 91811481728 bits, construction time: 89804028737 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,171.544,172.181,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,171.885,172.785,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,199.33,200.97,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,221.125,222.319,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,339.525,339.341,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,526.445,526.081,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,653.507,651.395,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,695.429,693.177,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,792.147,788.885,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,742.196,737.403,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1198.81,1192.7,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,1194.08,1188.9,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1193.98,1188.04,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1197.11,1191.29,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1196.73,1190.61,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1198.02,1193.01,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1182.9,1177.43,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1185.36,1179.81,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1183.99,1178.58,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1199.12,1191.28,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1188.5,1182.68,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1185.8,1180.1,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1186.97,1181.54,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1220.19,1213.31,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1188.26,1182.31,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1185.5,1180.78,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1193.62,1186.65,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1195.81,1190.39,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1199.46,1194.72,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1196.62,1191.7,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1197.28,1192.36,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1208.47,1204.62,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1188.97,1184.83,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1192.99,1189.11,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1184.34,1180.49,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1187.9,1183.2,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1191.51,1186.81,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1180.11,1175.93,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1184.93,1180.64,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1199.5,1194.31,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1189.69,1185.02,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1192.94,1188.1,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1191.69,1186.94,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1200.98,1196.37,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1191.94,1187.37,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,1183.47,1179.75,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,1177.87,1173.22,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,1197.03,1192.59,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,1187.61,1183.78,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,1190.38,1186.23,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,1191.31,1186.43,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,1189.77,1185.7,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,1182.5,1178.65,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,1183.79,1179.48,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,1201.05,1197.13,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,1185.08,1180.65,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,1193.88,1189.57,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,1195.06,1190.88,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,1179.71,1174.74,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,1188.11,1184.26,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,1181.68,1177.3,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,1185.8,1181.63,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,1228.66,1224.31,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,1188.59,1184.42,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,1192.62,1186.5,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1191.35,1185.38,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1183.47,1177.86,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1192.29,1186.7,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,1186.51,1180.76,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,1188.55,1183.07,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,1188.44,1183.13,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,1191.13,1185.02,ns,,,,,,0,0,9e+07,10000
