Data structure size: 91821312512 bits, construction time: 90296559944 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1011.84,1012.93,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,702.355,703.198,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,1012.83,1015.06,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,820.223,822.076,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,1339.28,1342.71,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,1250.79,1252.69,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,1926.62,1928.8,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,1420.09,1419.94,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,2111.04,2111.25,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,1749.02,1748.05,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,2520.23,2517.81,ns,,,,,,0,6,20,10001
"BM_run/30/iterations:10000",10000,2489.2,2487.56,ns,,,,,,0,3,30,10000
"BM_run/40/iterations:10000",10000,2502.62,2500.77,ns,,,,,,0,2,40,10000
"BM_run/50/iterations:10000",10000,2506.49,2504.91,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,2488.9,2486.92,ns,,,,,,0,4,60,10000
"BM_run/70/iterations:10000",10000,2501.98,2499.69,ns,,,,,,0,9,70,10000
"BM_run/80/iterations:10000",10000,2479.58,2477.67,ns,,,,,,0,4,80,10000
"BM_run/90/iterations:10000",10000,2482.44,2481.09,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,2493.76,2491.64,ns,,,,,,0,8,100,10000
"BM_run/200/iterations:10000",10000,2487.48,2485.93,ns,,,,,,0,7,200,10000
"BM_run/300/iterations:10000",10000,2507.76,2505.92,ns,,,,,,0,3,300,10000
"BM_run/400/iterations:10000",10000,2497.27,2494.99,ns,,,,,,0,3,400,10000
"BM_run/500/iterations:10000",10000,2501.99,2500.29,ns,,,,,,0,4,500,10000
"BM_run/600/iterations:10000",10000,2485.75,2483.94,ns,,,,,,0,2,600,10000
"BM_run/700/iterations:10000",10000,2493.08,2490.53,ns,,,,,,0,2,700,10000
"BM_run/800/iterations:10000",10000,2498.38,2496.38,ns,,,,,,0,2,800,10000
"BM_run/900/iterations:10000",10000,2487.09,2485.15,ns,,,,,,0,2,900,10000
"BM_run/1000/iterations:10000",10000,2485.84,2483,ns,,,,,,0,4,1000,10000
"BM_run/2000/iterations:10000",10000,2493.2,2491.21,ns,,,,,,0,3,2000,10000
"BM_run/3000/iterations:10000",10000,2478.5,2476.3,ns,,,,,,0,2,3000,10000
"BM_run/4000/iterations:10000",10000,2488.86,2487.09,ns,,,,,,0,5,4000,10000
"BM_run/5000/iterations:10000",10000,2499.4,2497.25,ns,,,,,,0,4,5000,10000
"BM_run/6000/iterations:10000",10000,2496.27,2495.04,ns,,,,,,0,3,6000,10000
"BM_run/7000/iterations:10000",10000,2485.72,2483.98,ns,,,,,,0,3,7000,10000
"BM_run/8000/iterations:10000",10000,2496.62,2494.31,ns,,,,,,0,1,8000,10000
"BM_run/9000/iterations:10000",10000,2494.4,2492.07,ns,,,,,,0,5,9000,10000
"BM_run/10000/iterations:10000",10000,2517.98,2515.48,ns,,,,,,0,2,10000,10000
"BM_run/20000/iterations:10000",10000,2500,2498.49,ns,,,,,,0,6,20000,10000
"BM_run/30000/iterations:10000",10000,2492.06,2489.47,ns,,,,,,0,1,30000,10000
"BM_run/40000/iterations:10000",10000,2484.34,2482.93,ns,,,,,,0,3,40000,10000
"BM_run/50000/iterations:10000",10000,2497.43,2495.65,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,2518.47,2516.32,ns,,,,,,0,1,60000,10000
"BM_run/70000/iterations:10000",10000,2509.51,2507.75,ns,,,,,,0,6,70000,10000
"BM_run/80000/iterations:10000",10000,2490.23,2487.49,ns,,,,,,0,3,80000,10000
"BM_run/90000/iterations:10000",10000,2486.74,2485.25,ns,,,,,,0,4,90000,10000
"BM_run/100000/iterations:10000",10000,2489.87,2488.13,ns,,,,,,0,3,100000,10000
"BM_run/200000/iterations:10000",10000,2476.47,2474.61,ns,,,,,,0,3,200000,10000
"BM_run/300000/iterations:10000",10000,2519.97,2517.78,ns,,,,,,0,2,300000,10000
