Data structure size: 40265319552 bits, construction time: 12335046350 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,284.382,285.162,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,1242.76,1241.91,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,4104.29,4100.02,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,4996.58,4990.22,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,5054.2,5048.55,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,5008.34,5002.45,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,5029.26,5023.53,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,5006.7,5001.08,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,5024.37,5019.59,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,5039.43,5033.28,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,5020.13,5014.67,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,4984.47,4979.58,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,5014.49,5008.28,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,5019.03,5014.15,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,5024.66,5019.2,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,5014.86,5010.33,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,5041.53,5036.5,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,5006.37,5001.12,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,5033.32,5028.89,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,5043.76,5038,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,5043.72,5038.82,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,5016.73,5010.87,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,5008.79,5003.07,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,5045.07,5040.41,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,5018,5012.23,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,5019.64,5015.07,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,4993.9,4988.51,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,4991.31,4986.63,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,5010.31,5005.28,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,5011.55,5006.37,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,4995.05,4990.54,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,5048.61,5043.03,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,5066.21,5060.49,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,5008.46,5003.11,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,5040.46,5035.58,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,5028.4,5022.49,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,5031.14,5025.43,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,5015.66,5011.05,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,5026.72,5022.59,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,5032.74,5028.41,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,5026.16,5021.59,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,5020.19,5015.92,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,5043.21,5037.17,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,5034.35,5028.86,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,4971.73,4967.32,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,4973.47,4968.17,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4997.97,4992.76,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,5004.11,4999.07,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,4993.3,4988.46,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,5007,5001.84,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,5003.96,4998.71,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,5030.81,5026.47,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,5020.83,5016.43,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,4995.17,4990.02,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,5009.58,5004.3,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,5009.43,5003.61,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,5004.09,4999.21,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,4996.75,4990.37,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,4992.17,4987.02,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,5048.43,5044.25,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,5041.21,5036.02,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,5032.84,5027.45,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,5009.4,5004.39,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,5052.52,5046.53,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,5030.02,5024.93,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,5035.61,5030.86,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,5048.61,5042.82,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,5004.9,4999.55,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,4993.64,4989.45,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,5011.45,5005.18,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,5008.25,5003.53,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,4974.79,4968.94,ns,,,,,,0,0,9e+07,10000
