Data structure size: 53156776064 bits, construction time: 32918961523 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,347.118,347.591,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,514.388,512.577,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3224.83,3219.73,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,670.078,664.463,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,738.039,732.654,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,822.053,815.586,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,822.156,815.692,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,829.065,821.888,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,816.147,809.13,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,815.718,809.303,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,820.399,815.775,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,825.524,818.694,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,814.732,807.472,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,810.652,803.468,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,816.661,809.298,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,822.522,816.497,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,826.289,820.614,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,820.178,815.301,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,826.17,821.009,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,832.153,827.282,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,816.164,811.572,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,814.331,809.456,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,819.699,814.041,ns,,,,,,0,0,500,10000
