Data structure size: 53166606848 bits, construction time: 32577807779 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,783.986,784.658,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,1142.23,1141.23,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,4495.35,4492.65,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,1396.87,1393.13,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,1641.72,1639.58,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,1844.08,1842.93,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,1843.42,1841.79,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,1850.39,1848.38,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,1842.46,1840.81,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,1859.5,1857.95,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,1835.4,1833.41,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,1845.39,1843.53,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1843.15,1842.06,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1835.01,1833.52,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1848.9,1846.07,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1857.98,1855.98,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1845.99,1844.31,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1843.95,1842.44,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1837.4,1835.59,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1856.67,1855.29,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1840.67,1838.49,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1837.55,1835.76,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1835.67,1834.12,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1863.13,1860.99,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1844.43,1842.45,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1863.78,1862.75,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1845.05,1843.34,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1861.44,1859.57,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1845.02,1842.89,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1837.5,1835.45,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1854.49,1852.96,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1841.65,1840.03,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1846.34,1844.98,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1843.65,1841.59,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1857.66,1856.44,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1835.93,1834.61,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1839.1,1837.47,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1846.85,1844.86,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1851.49,1849.72,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1853.39,1851.11,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1847.23,1845.31,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1846.99,1845.31,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1841.88,1839.79,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1839.85,1837.74,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1856.3,1854.42,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,1844.18,1841.9,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,1838.84,1836.75,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,1842.18,1840.87,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,1845.82,1843.7,ns,,,,,,0,0,400000,10000
