Data structure size: 91821312512 bits, construction time: 72105239916 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1199.35,1202.39,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,1227.1,1225.58,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,3577.15,3573.42,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,1561.65,1557.55,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,3058.07,3053.24,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,2510.04,2505.15,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,3422.78,3416.61,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,1919.51,1914.7,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,2579.97,2574.14,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,2587.91,2582.26,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,2874.54,2866.74,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,3273.67,3265.66,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,3209.93,3201.84,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,3337.91,3329.38,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,3417.57,3410.04,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,3504.33,3496.57,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,3528.4,3521.23,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,3592.88,3583.82,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,3597.44,3588.89,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,3866.75,3859.66,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,4153.43,4144.93,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,4186.37,4177.46,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,4223.83,4215.09,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,4510.98,4502.59,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,4534.57,4525.62,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,4524.39,4516.27,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,4538.39,4527.85,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,4560.53,4551.54,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,4958.07,4948.94,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,5489.86,5481.31,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,5504.35,5496.08,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,5993,5985.06,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,5985.76,5976.71,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,5986.71,5977.33,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,5990.43,5981.57,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,6688.1,6677.46,ns,,,,,,0,0,9000,36058
"BM_run/10000/iterations:10000",10000,6690.07,6681.43,ns,,,,,,0,0,10000,35401
"BM_run/20000/iterations:10000",10000,7716.31,7708.43,ns,,,,,,0,0,20000,27279
"BM_run/30000/iterations:10000",10000,7747.56,7737.36,ns,,,,,,0,0,30000,15335
"BM_run/40000/iterations:10000",10000,9577.68,9570.53,ns,,,,,,0,0,40000,10685
"BM_run/50000/iterations:10000",10000,9536.88,9529.47,ns,,,,,,0,0,50000,14084
"BM_run/60000/iterations:10000",10000,9550.67,9543.98,ns,,,,,,0,0,60000,12024
"BM_run/70000/iterations:10000",10000,12864.6,12855.4,ns,,,,,,0,0,70000,10022
"BM_run/80000/iterations:10000",10000,12858,12849.7,ns,,,,,,0,0,80000,10645
"BM_run/90000/iterations:10000",10000,12901.9,12893.7,ns,,,,,,0,0,90000,10028
"BM_run/100000/iterations:10000",10000,12844,12834.5,ns,,,,,,0,0,100000,10016
"BM_run/200000/iterations:10000",10000,12887,12878.3,ns,,,,,,0,0,200000,10005
"BM_run/300000/iterations:10000",10000,12952.1,12941.2,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,12900.3,12892.3,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,12876.4,12866.8,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,12894.9,12884.2,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,12897,12888.5,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,12896,12886.3,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,12870.1,12861.2,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,12868.6,12860.9,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,12863.9,12855.1,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,12874.4,12865.4,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,12901.2,12891.5,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,12883.1,12873.3,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,12907.7,12897.5,ns,,,,,,0,0,6e+06,10000
