Data structure size: 4993189280 bits, construction time: 6153110191 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4335711,160.519,161.57,ns,,,,,,0,0,1,2.47261e+13
"BM_run/2",4338779,161.804,162.97,ns,,,,,,0,0,2,1.52924e+13
"BM_run/3",4138980,168.208,169.263,ns,,,,,,0,0,3,1.45882e+13
"BM_run/4",4156401,167.879,168.956,ns,,,,,,0,0,5,9.05393e+12
"BM_run/5",4032841,172.887,174.067,ns,,,,,,0,0,8,5.42928e+12
"BM_run/6",3781667,184.738,185.635,ns,,,,,,0,0,13,3.1465e+12
"BM_run/7",3506053,197.455,198.542,ns,,,,,,0,0,21,1.80291e+12
"BM_run/8",2816515,247.518,248.315,ns,,,,,,0,0,34,8.95119e+11
"BM_run/9",2197216,317.328,318.462,ns,,,,,,0,0,55,4.31571e+11
"BM_run/10",2143641,325.742,326.539,ns,,,,,,0,0,89,2.60223e+11
"BM_run/11",1532422,456.418,456.922,ns,,,,,,0,0,144,1.14968e+11
"BM_run/12",1375943,508.343,509.028,ns,,,,,,0,0,233,6.37997e+10
"BM_run/13",1751752,397.915,399.025,ns,,,,,,0,0,377,5.01982e+10
"BM_run/14",1442414,485.956,486.773,ns,,,,,,0,0,610,2.55466e+10
"BM_run/15",950712,736.931,738.081,ns,,,,,,0,0,987,1.04055e+10
"BM_run/16",1261456,554.741,555.566,ns,,,,,,0,0,1597,8.53375e+09
"BM_run/17",762005,914.57,915.948,ns,,,,,,0,0,2584,3.18518e+09
"BM_run/18",602077,1159.13,1162.06,ns,,,,,,0,0,4181,1.55577e+09
"BM_run/19",402923,1734.48,1739.56,ns,,,,,,0,0,6765,6.43065e+08
"BM_run/20",261248,2675.33,2679.66,ns,,,,,,0,0,10946,2.57852e+08
"BM_run/21",164364,4254.04,4258.29,ns,,,,,,0,0,17711,1.00098e+08
"BM_run/22",101608,6899.74,6899.57,ns,,,,,,0,0,28657,3.83062e+07
"BM_run/23",62861,11140.7,11137.1,ns,,,,,,0,0,46368,1.45838e+07
"BM_run/24",39533,17709.3,17701,ns,,,,,,0,0,75025,5.69275e+06
"BM_run/25",24692,28401,28385.7,ns,,,,,,0,0,121393,2.1729e+06
"BM_run/26",15390,45508,45483.2,ns,,,,,,0,0,196418,846450
"BM_run/27",9528,73467.8,73438.8,ns,,,,,,0,0,317811,314424
"BM_run/28",5813,120561,120496,ns,,,,,,0,0,514229,122073
"BM_run/29",3579,195909,195771,ns,,,,,,0,0,832040,42948
"BM_run/30",2190,319890,319629,ns,,,,,,0,0,1.34627e+06,17520
"BM_run/31",1351,519724,519277,ns,,,,,,0,0,2.17831e+06,5404
"BM_run/32",831,842729,842002,ns,,,,,,0,0,3.52458e+06,2493
"BM_run/33",786,891164,890278,ns,,,,,,0,0,5.70289e+06,786
