Data structure size: 4993622176 bits, construction time: 6046894808 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",461716,1514.58,1516.18,ns,,,,,,0,0,1,2.63311e+12
"BM_run/2",644451,1084.96,1087.11,ns,,,,,,0,0,2,2.27142e+12
"BM_run/3",446479,1568.48,1570.28,ns,,,,,,0,0,3,1.57365e+12
"BM_run/4",621210,1123.1,1124.68,ns,,,,,,0,0,5,1.35319e+12
"BM_run/5",601195,1164.22,1165.01,ns,,,,,,0,0,8,8.0937e+11
"BM_run/6",590958,1185.55,1186.9,ns,,,,,,0,0,13,4.91701e+11
"BM_run/7",428644,1630.28,1630.72,ns,,,,,,0,0,21,2.20421e+11
"BM_run/8",574884,1218.08,1218.7,ns,,,,,,0,0,34,1.82704e+11
"BM_run/9",378520,1849.73,1850.33,ns,,,,,,0,0,55,7.43478e+10
"BM_run/10",472506,1481.23,1481.72,ns,,,,,,0,0,89,5.73589e+10
"BM_run/11",386626,1808.44,1808.86,ns,,,,,,0,0,144,2.90062e+10
"BM_run/12",408019,1716.13,1716.49,ns,,,,,,0,0,233,1.8919e+10
"BM_run/13",351094,1996.15,1996.8,ns,,,,,,0,0,377,1.00609e+10
"BM_run/14",424479,1649.29,1649.64,ns,,,,,,0,0,610,7.51795e+09
"BM_run/15",269033,2603.27,2603.97,ns,,,,,,0,0,987,2.94457e+09
"BM_run/16",383101,1827.22,1828.1,ns,,,,,,0,0,1597,2.59168e+09
"BM_run/17",254396,2750.4,2750.85,ns,,,,,,0,0,2584,1.06338e+09
"BM_run/18",303707,2306.03,2306.69,ns,,,,,,0,0,4181,7.84779e+08
"BM_run/19",193056,3620.43,3621.33,ns,,,,,,0,0,6765,3.08117e+08
"BM_run/20",184118,3804.95,3803.21,ns,,,,,,0,0,10946,1.81724e+08
"BM_run/21",121775,5757.43,5756.06,ns,,,,,,0,0,17711,7.4161e+07
"BM_run/22",86135,8059.35,8054.04,ns,,,,,,0,0,28657,3.24729e+07
"BM_run/23",56949,12295,12288.2,ns,,,,,,0,0,46368,1.32122e+07
"BM_run/24",40090,17477.1,17465.2,ns,,,,,,0,0,75025,5.77296e+06
"BM_run/25",25113,27863.1,27846.3,ns,,,,,,0,0,121393,2.20994e+06
"BM_run/26",16117,43379.6,43354.1,ns,,,,,,0,0,196418,886435
"BM_run/27",10103,69410.3,69371.4,ns,,,,,,0,0,317811,333399
"BM_run/28",6329,110786,110713,ns,,,,,,0,0,514229,132909
"BM_run/29",3899,179578,179452,ns,,,,,,0,0,832040,46788
"BM_run/30",2428,288083,287845,ns,,,,,,0,0,1.34627e+06,19424
"BM_run/31",1508,464670,464299,ns,,,,,,0,0,2.17831e+06,6032
"BM_run/32",937,747574,746969,ns,,,,,,0,0,3.52458e+06,2811
"BM_run/33",578,1.21321e+06,1.21213e+06,ns,,,,,,0,0,5.70289e+06,578
