Data structure size: 91811481728 bits, construction time: 69885232228 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,485.992,487.212,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,365.207,363.354,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1385.54,1381.67,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,597.188,591.912,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,882.298,876.69,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,805.006,799.168,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,962.122,956.755,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,720.167,714.139,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,853.983,848.727,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,898.164,892.461,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,1110.44,1103.6,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1396.24,1390.59,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1461.7,1455.35,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1634.6,1628.77,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1764.2,1757.71,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1770.86,1765.16,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1869.38,1863.75,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1910.74,1904.91,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,1960.13,1953.89,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,2311.01,2305.76,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,2657.46,2652.4,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,2648.34,2642.18,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,2658.05,2651.53,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,3023.25,3016.64,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,3019.22,3014.06,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,3022.99,3016.81,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,3013.76,3006.8,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,3052.04,3046.14,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3050.49,3044.76,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3046.23,3039.47,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3038.73,3032.11,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,3080.21,3073.98,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,3081.49,3075.12,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,3083,3076.49,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,3106.75,3100.59,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,3116.1,3109.42,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,3125.94,3119.01,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,3234.88,3227.47,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,3319.63,3313.34,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,3471.09,3467.56,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,3606.86,3600.96,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,3711.27,3706.75,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,3819.57,3813.81,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,3932.62,3927.34,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,4070.45,4065.59,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,4172.78,4166.71,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,5337.93,5326.17,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,6764.2,6749.72,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,8396.06,8378.48,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,10179.2,10152.7,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,12054.5,12023.3,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,13971.8,13926.5,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,15876.6,15827.7,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,17827.7,17772.2,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,19885.2,19819.1,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,51404.8,51263.7,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,85638.7,85416.6,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,120878,120566,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,157459,157057,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,194346,193868,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,232156,231580,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,269300,268639,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,308078,307310,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,347248,346405,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,744230,742328,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.15256e+06,1.14944e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.53703e+06,1.5334e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.92827e+06,1.92398e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.32112e+06,2.31591e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.71729e+06,2.71131e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.1096e+06,3.10287e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.50353e+06,3.49612e+06,ns,,,,,,0,0,9e+07,10000
