Data structure size: 108985006720 bits, construction time: 32299386519 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,507.875,507.915,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,363.485,361.182,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1421.89,1418.29,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,590.155,586.084,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,935.043,930.887,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,1003.79,999.191,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,1201.7,1197.62,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,770.18,765.775,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,945.283,940.557,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,1078.2,1073.73,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,1320.76,1315.95,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1583.82,1578.88,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1463.23,1458.23,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1559.38,1555.22,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1670.99,1667.11,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1623.61,1619.28,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1662.39,1658.93,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1691.15,1687.43,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,1708.4,1703.92,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,1918.05,1915.08,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,2066.57,2063.21,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,2076.41,2071.49,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,2078.64,2073.89,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,2306.07,2301.91,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,2329.49,2325.04,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,2323.32,2319.47,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,2307.67,2303.59,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,2317.52,2313.72,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,2354.11,2349.62,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,2333.36,2329.02,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,2348.61,2342.55,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,2363.99,2358.85,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,2383.85,2379.31,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,2363.09,2357.55,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,2389.38,2384.45,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,2387.46,2381.58,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,2404.04,2399.16,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,2470.95,2464.05,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,2526.23,2520.31,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,2653.56,2650.49,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,2790.31,2787.61,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,2882.65,2879.81,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,2969.78,2966.47,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,3078.29,3076.62,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,3153.08,3148.88,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,3264.86,3261.07,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4276.98,4269.94,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,5533,5521.33,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,7102.88,7086.25,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,8824.89,8800.52,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,10647.5,10615.1,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,12492.1,12454.2,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,14351.2,14303.9,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,16248.4,16193.9,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,18344.4,18279,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,50633,50499.5,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,84977.4,84741.1,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,120169,119836,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,156885,156463,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,193766,193263,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,231178,230602,ns,,,,,,0,0,7e+06,10000
