Data structure size: 91818035328 bits, construction time: 45167859470 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,175.404,175.881,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,174.038,176.353,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,211.085,211.997,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,211.133,212.031,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,309.915,310.195,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,480.179,479.498,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,609.486,607.227,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,689.161,686.312,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,788.074,784.558,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,734.737,730.552,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,927.51,922.866,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,984.674,980.071,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1057.36,1053.81,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1066.58,1063,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1062.77,1059.58,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1153.09,1150.5,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1138.76,1135.68,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1142.17,1139.73,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1141.77,1138.02,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,1230.22,1227.18,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,1344.42,1341.93,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,1346.95,1344.61,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,1369.77,1367.48,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,1482.22,1478.98,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,1481.98,1480.19,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,1473.49,1471.01,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,1486.31,1484.25,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,1480.6,1478.49,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,1607.19,1604.26,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,1713.04,1710.46,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,1726.91,1723.52,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,1739.23,1737.07,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,1746,1743.04,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,1755.41,1752.95,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,1780.21,1776.79,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,1771.28,1768.45,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,1786.77,1783.59,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,1893.19,1889.31,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,1995.49,1991.32,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,2140.48,2139.27,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,2280.75,2277.89,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,2411.11,2408.22,ns,,,,,,0,0,60000,10006
"BM_run/70000/iterations:10000",10000,2526.88,2522.05,ns,,,,,,0,0,70000,10002
"BM_run/80000/iterations:10000",10000,2633.17,2628.9,ns,,,,,,0,0,80000,10001
"BM_run/90000/iterations:10000",10000,2726.56,2721.97,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2858.4,2854.29,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4098.27,4091.31,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,5607.47,5594.27,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,7339.86,7318.9,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,9155.29,9126.99,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,11064.9,11030.2,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,13040.7,12997.1,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,15008.6,14962,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,16980.5,16925.5,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,19096.8,19031.9,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,50377.5,50238,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,84907.7,84677.5,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,120431,120129,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,157524,157101,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,194853,194353,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,232448,231890,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,270152,269507,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,309244,308512,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,348519,347710,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,749580,747881,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.16058e+06,1.15787e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.54709e+06,1.54402e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.93961e+06,1.93594e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.33277e+06,2.32836e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.73084e+06,2.72576e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.12525e+06,3.1193e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.52109e+06,3.51452e+06,ns,,,,,,0,0,9e+07,10000
