Data structure size: 91821312512 bits, construction time: 83682449172 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1128.49,1130.76,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,824.031,825.619,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,1203.46,1206.74,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,824.823,826.595,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,1443.35,1446.56,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,1465.99,1468.13,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,2433.15,2433.65,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,1591.17,1591.42,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,2685.96,2685.1,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,2252.79,2252.44,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,3436.74,3433.84,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,3690.86,3687.27,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,3918.11,3914.3,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,3973.93,3970.53,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,3941.74,3937.59,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,4273.54,4269.33,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,4256.97,4253,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,4285.88,4281.86,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,4237.05,4231.21,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,4574.81,4570.24,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,4874.84,4869.75,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,4856.15,4852.41,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,4876.64,4872.55,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,5227.89,5223.31,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,5211.04,5206.36,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,5200.5,5195.64,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,5236.72,5231.93,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,5210.2,5204.92,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,5605.34,5599.93,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,6049.46,6043,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,6053.18,6046.88,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,6229.91,6223.08,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,6273.22,6266.95,ns,,,,,,0,0,6000,10031
