Data structure size: 91821312512 bits, construction time: 95684887980 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1067.6,1069.28,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,743.269,744.759,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,1090.03,1092.11,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,874.457,875.944,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,1384.68,1386.36,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,1256.85,1258.2,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,1937.25,1937.42,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,1404.44,1403.52,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,2104.85,2102.79,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,1720.57,1718.53,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,2765.49,2760.94,ns,,,,,,0,16,20,756996
"BM_run/30/iterations:10000",10000,2968.99,2965.13,ns,,,,,,0,26,30,167402
"BM_run/40/iterations:10000",10000,3141.03,3136.92,ns,,,,,,0,28,40,39228
"BM_run/50/iterations:10000",10000,3216.19,3212.21,ns,,,,,,0,22,50,24201
"BM_run/60/iterations:10000",10000,3308.55,3303.91,ns,,,,,,0,17,60,19098
"BM_run/70/iterations:10000",10000,3505.57,3501.8,ns,,,,,,0,20,70,14503
"BM_run/80/iterations:10000",10000,3481.73,3477.38,ns,,,,,,0,20,80,13045
"BM_run/90/iterations:10000",10000,3513.46,3509.59,ns,,,,,,0,17,90,11713
"BM_run/100/iterations:10000",10000,3523.56,3518.66,ns,,,,,,0,21,100,12060
"BM_run/200/iterations:10000",10000,3831.86,3826.85,ns,,,,,,0,23,200,10225
"BM_run/300/iterations:10000",10000,4186.67,4181.32,ns,,,,,,0,26,300,10153
"BM_run/400/iterations:10000",10000,4229.83,4224.31,ns,,,,,,0,26,400,10121
"BM_run/500/iterations:10000",10000,4248.15,4243.15,ns,,,,,,0,26,500,10149
"BM_run/600/iterations:10000",10000,4590.05,4583.76,ns,,,,,,0,17,600,10114
"BM_run/700/iterations:10000",10000,4680.94,4675.02,ns,,,,,,0,22,700,10098
"BM_run/800/iterations:10000",10000,4623.73,4618.76,ns,,,,,,0,20,800,10093
"BM_run/900/iterations:10000",10000,4604.01,4597.41,ns,,,,,,0,21,900,10090
"BM_run/1000/iterations:10000",10000,4703.1,4697.44,ns,,,,,,0,20,1000,10093
"BM_run/2000/iterations:10000",10000,5156.96,5151.26,ns,,,,,,0,13,2000,10051
"BM_run/3000/iterations:10000",10000,5435.63,5430.7,ns,,,,,,0,18,3000,10049
"BM_run/4000/iterations:10000",10000,5552.22,5546.14,ns,,,,,,0,22,4000,10047
"BM_run/5000/iterations:10000",10000,5842.81,5835.97,ns,,,,,,0,16,5000,10028
"BM_run/6000/iterations:10000",10000,6107,6101.24,ns,,,,,,0,18,6000,10031
"BM_run/7000/iterations:10000",10000,6271.92,6265.34,ns,,,,,,0,26,7000,10021
"BM_run/8000/iterations:10000",10000,6489.82,6482.76,ns,,,,,,0,26,8000,10021
"BM_run/9000/iterations:10000",10000,6648.31,6641.29,ns,,,,,,0,17,9000,10025
"BM_run/10000/iterations:10000",10000,6911.71,6904.89,ns,,,,,,0,14,10000,10015
"BM_run/20000/iterations:10000",10000,9113.29,9103.89,ns,,,,,,0,22,20000,10005
"BM_run/30000/iterations:10000",10000,11359.3,11347.6,ns,,,,,,0,31,30000,10010
"BM_run/40000/iterations:10000",10000,13458.4,13445,ns,,,,,,0,30,40000,10002
"BM_run/50000/iterations:10000",10000,15564.9,15549.7,ns,,,,,,0,16,50000,10008
"BM_run/60000/iterations:10000",10000,17756.8,17737.9,ns,,,,,,0,25,60000,10006
"BM_run/70000/iterations:10000",10000,19878.6,19858.1,ns,,,,,,0,17,70000,10002
"BM_run/80000/iterations:10000",10000,22041.7,22018.6,ns,,,,,,0,19,80000,10001
"BM_run/90000/iterations:10000",10000,24265,24238.6,ns,,,,,,0,26,90000,10000
"BM_run/100000/iterations:10000",10000,26294.9,26266.8,ns,,,,,,0,23,100000,10000
"BM_run/200000/iterations:10000",10000,47663.6,47614,ns,,,,,,0,21,200000,10000
"BM_run/300000/iterations:10000",10000,69037.2,68964.7,ns,,,,,,0,18,300000,10000
"BM_run/400000/iterations:10000",10000,90361.9,90268.1,ns,,,,,,0,25,400000,10000
"BM_run/500000/iterations:10000",10000,112095,111973,ns,,,,,,0,23,500000,10000
"BM_run/600000/iterations:10000",10000,133404,133257,ns,,,,,,0,23,600000,10000
"BM_run/700000/iterations:10000",10000,155158,154983,ns,,,,,,0,16,700000,10000
"BM_run/800000/iterations:10000",10000,176765,176556,ns,,,,,,0,15,800000,10000
"BM_run/900000/iterations:10000",10000,198168,197928,ns,,,,,,0,24,900000,10000
"BM_run/1000000/iterations:10000",10000,219572,219299,ns,,,,,,0,27,1e+06,10000
"BM_run/2000000/iterations:10000",10000,435488,434830,ns,,,,,,0,23,2e+06,10000
"BM_run/3000000/iterations:10000",10000,651773,650737,ns,,,,,,0,23,3e+06,10000
"BM_run/4000000/iterations:10000",10000,866218,864867,ns,,,,,,0,29,4e+06,10000
"BM_run/5000000/iterations:10000",10000,1.08258e+06,1.08087e+06,ns,,,,,,0,24,5e+06,10000
"BM_run/6000000/iterations:10000",10000,1.29815e+06,1.29608e+06,ns,,,,,,0,21,6e+06,10000
"BM_run/7000000/iterations:10000",10000,1.51329e+06,1.5109e+06,ns,,,,,,0,20,7e+06,10000
"BM_run/8000000/iterations:10000",10000,1.7309e+06,1.72816e+06,ns,,,,,,0,23,8e+06,10000
"BM_run/9000000/iterations:10000",10000,1.9468e+06,1.94362e+06,ns,,,,,,0,20,9e+06,10000
"BM_run/10000000/iterations:10000",10000,2.16241e+06,2.15883e+06,ns,,,,,,0,26,1e+07,10000
"BM_run/20000000/iterations:10000",10000,4.3233e+06,4.3161e+06,ns,,,,,,0,19,2e+07,10000
"BM_run/30000000/iterations:10000",10000,6.48356e+06,6.47266e+06,ns,,,,,,0,20,3e+07,10000
"BM_run/40000000/iterations:10000",10000,8.6355e+06,8.62244e+06,ns,,,,,,0,19,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.07944e+07,1.07785e+07,ns,,,,,,0,26,5e+07,10000
"BM_run/60000000/iterations:10000",10000,1.29403e+07,1.29215e+07,ns,,,,,,0,28,6e+07,10000
"BM_run/70000000/iterations:10000",10000,1.50877e+07,1.50663e+07,ns,,,,,,0,21,7e+07,10000
"BM_run/80000000/iterations:10000",10000,1.72291e+07,1.72052e+07,ns,,,,,,0,21,8e+07,10000
"BM_run/90000000/iterations:10000",10000,1.93751e+07,1.93489e+07,ns,,,,,,0,27,9e+07,10000
