Data structure size: 40265319552 bits, construction time: 11724851116 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,502.972,503.079,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,1211.91,1211.28,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,2396.54,2394.69,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,3350.64,3347.64,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,4211.68,4207.71,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,4928.31,4922.99,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,5398.48,5393.94,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,5729.11,5722.82,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,5940.53,5934.4,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,6127.95,6121.66,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,6393.13,6383.98,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,6422.96,6415.67,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,6367.37,6358.07,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,6404.49,6398.67,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,6391.73,6385.39,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,6364.16,6356.22,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,6472.61,6465.73,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,6392.74,6387.22,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,6369.23,6361.52,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,6369.15,6362.09,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,6485.94,6478.95,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,6456.67,6448.65,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,6422.88,6416.18,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,6380.22,6373.2,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,6474.9,6468.67,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,6416.88,6409.06,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,6408.3,6401.49,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,6462.93,6457.62,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,6491.68,6484.11,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,6530.83,6522.12,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,6513.79,6506.04,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,6566.45,6558.94,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,6567.44,6559.66,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,6598.47,6590.38,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,6654.86,6646.77,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,6657.69,6649.36,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,6710.55,6702.69,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,6944.81,6937.08,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,7117.59,7107.77,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,7382.93,7372.98,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,7585.28,7574.7,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,7824.08,7814.37,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,8024.83,8012.69,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,8272.95,8260.75,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,8488.47,8476.88,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,8618.76,8606.37,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,10773.4,10755.2,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,13265.2,13238,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,15854.3,15820.4,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,18478.3,18435.4,ns,,,,,,0,0,500000,10062
"BM_run/600000/iterations:10000",10000,21183.1,21128.5,ns,,,,,,0,0,600000,10043
"BM_run/700000/iterations:10000",10000,23599.6,23536.2,ns,,,,,,0,0,700000,10031
"BM_run/800000/iterations:10000",10000,26232.1,26157.1,ns,,,,,,0,0,800000,10019
"BM_run/900000/iterations:10000",10000,28853.3,28772.7,ns,,,,,,0,0,900000,10009
"BM_run/1000000/iterations:10000",10000,31785.1,31693.3,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,66397.9,66226.3,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,102268,102003,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,139074,138712,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,176766,176304,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,214427,213898,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,252906,252280,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,291496,290766,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,329599,328774,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,369310,368382,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,772724,770958,ns,,,,,,0,0,2e+07,10000
