Data structure size: 91811481728 bits, construction time: 78176972396 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,650.614,651.162,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,359.303,355.786,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1386.86,1381.05,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,666.89,658.902,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1548.49,1540.92,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,1246.4,1237.89,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1816.92,1807.54,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,880.134,870.829,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,1272.18,1262.12,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,1380.54,1369.15,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1957.67,1948.63,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,2051.93,2043.34,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,2321.81,2314.38,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,2330.28,2322.16,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,2331.49,2323.69,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,2597.49,2589.12,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,2622.46,2614.16,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,2613.3,2606.57,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,2617.1,2609.81,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,2914.71,2906.57,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,3176.24,3168.78,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,3215.53,3207.09,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,3192.75,3184.37,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,3463.79,3455.28,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,3474.17,3466.75,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,3473.94,3464.08,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,3506.22,3497.17,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,3491.91,3484.13,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,3813.6,3804.91,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,4171.98,4162.72,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,4216.89,4206,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,4498.75,4489.48,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,4541.56,4532.53,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,4613.03,4604.43,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,4649.2,4639.77,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,5054.6,5044.46,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,5071.22,5060.89,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,6082.57,6071.9,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,6264.3,6254.24,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,7895.16,7886.46,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,8051.59,8042.82,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,8158.19,8149.95,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,8294.76,8284.63,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,8421.21,8410.54,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,8527.28,8518.9,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,8599.47,8589.51,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,9783.63,9769.85,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,11130.3,11115,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,12711.1,12690.5,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,14385.7,14356.8,ns,,,,,,0,0,500000,10062
"BM_run/600000/iterations:10000",10000,16124.7,16092.3,ns,,,,,,0,0,600000,10043
"BM_run/700000/iterations:10000",10000,17963.4,17921.6,ns,,,,,,0,0,700000,10031
"BM_run/800000/iterations:10000",10000,19841.5,19796.2,ns,,,,,,0,0,800000,10019
"BM_run/900000/iterations:10000",10000,21693.6,21637.1,ns,,,,,,0,0,900000,10009
"BM_run/1000000/iterations:10000",10000,23801.8,23745.8,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,55079.1,54971.2,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,89558.5,89369,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,124970,124684,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,161584,161233,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,198589,198164,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,236050,235519,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,273534,272928,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,312311,311638,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,351659,350880,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,749013,747356,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.1571e+06,1.15441e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.54029e+06,1.53725e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.92774e+06,1.92413e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.32024e+06,2.31556e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.71772e+06,2.71249e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.11006e+06,3.10418e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.50343e+06,3.49683e+06,ns,,,,,,0,0,9e+07,10000
