Data structure size: 91837696512 bits, construction time: 42231305903 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,575.89,576.209,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,346.164,343.039,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1426.03,1421.65,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,714.419,708.301,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1628.75,1623.42,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,1004.64,998.247,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1546.56,1539.85,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,880.86,872.837,ns,,,,,,0,11,8,2.84488e+07
"BM_run/9/iterations:10000",10000,1178.33,1171.67,ns,,,,,,0,4,9,1.25244e+07
"BM_run/10/iterations:10000",10000,1053.59,1047.06,ns,,,,,,0,13,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1390.99,1384.72,ns,,,,,,0,17,20,939030
"BM_run/30/iterations:10000",10000,1419.96,1414.22,ns,,,,,,0,17,30,253131
"BM_run/40/iterations:10000",10000,1458.64,1452.82,ns,,,,,,0,15,40,458713
"BM_run/50/iterations:10000",10000,1463.28,1458.53,ns,,,,,,0,18,50,151362
"BM_run/60/iterations:10000",10000,1451.26,1445.67,ns,,,,,,0,20,60,37337
"BM_run/70/iterations:10000",10000,1525.58,1519.87,ns,,,,,,0,9,70,19942
"BM_run/80/iterations:10000",10000,1552.61,1547.4,ns,,,,,,0,15,80,22011
"BM_run/90/iterations:10000",10000,1523.58,1517.52,ns,,,,,,0,19,90,19057
"BM_run/100/iterations:10000",10000,1513.8,1507.42,ns,,,,,,0,18,100,18546
"BM_run/200/iterations:10000",10000,1623.53,1616.81,ns,,,,,,0,16,200,15711
"BM_run/300/iterations:10000",10000,1776.53,1770.04,ns,,,,,,0,13,300,14682
"BM_run/400/iterations:10000",10000,1770.73,1763.61,ns,,,,,,0,11,400,14251
"BM_run/500/iterations:10000",10000,1796.98,1790.24,ns,,,,,,0,15,500,14009
"BM_run/600/iterations:10000",10000,1836.66,1830.48,ns,,,,,,0,10,600,13967
"BM_run/700/iterations:10000",10000,1878.99,1870.63,ns,,,,,,0,13,700,13870
"BM_run/800/iterations:10000",10000,1885.76,1879.18,ns,,,,,,0,11,800,13800
"BM_run/900/iterations:10000",10000,1892.8,1885.66,ns,,,,,,0,9,900,13832
"BM_run/1000/iterations:10000",10000,1898.9,1892.72,ns,,,,,,0,19,1000,13699
"BM_run/2000/iterations:10000",10000,2020.13,2013.13,ns,,,,,,0,14,2000,13211
"BM_run/3000/iterations:10000",10000,2098.02,2090.18,ns,,,,,,0,14,3000,12906
"BM_run/4000/iterations:10000",10000,2155.06,2148.27,ns,,,,,,0,11,4000,12554
"BM_run/5000/iterations:10000",10000,2207.13,2200.17,ns,,,,,,0,9,5000,12357
"BM_run/6000/iterations:10000",10000,2257.71,2250.49,ns,,,,,,0,8,6000,12129
"BM_run/7000/iterations:10000",10000,2313.94,2305.94,ns,,,,,,0,12,7000,12103
"BM_run/8000/iterations:10000",10000,2336.87,2330.41,ns,,,,,,0,8,8000,11897
"BM_run/9000/iterations:10000",10000,2380.71,2373.25,ns,,,,,,0,6,9000,11802
"BM_run/10000/iterations:10000",10000,2444.01,2436.89,ns,,,,,,0,13,10000,11741
"BM_run/20000/iterations:10000",10000,2859,2852.07,ns,,,,,,0,14,20000,11117
"BM_run/30000/iterations:10000",10000,3241.88,3236.32,ns,,,,,,0,7,30000,10886
"BM_run/40000/iterations:10000",10000,3656.63,3651.49,ns,,,,,,0,7,40000,10789
"BM_run/50000/iterations:10000",10000,4008.76,4002.41,ns,,,,,,0,9,50000,10646
"BM_run/60000/iterations:10000",10000,4351.53,4344.05,ns,,,,,,0,13,60000,10605
"BM_run/70000/iterations:10000",10000,4687.46,4678.5,ns,,,,,,0,9,70000,10539
"BM_run/80000/iterations:10000",10000,5025.58,5017,ns,,,,,,0,9,80000,10490
"BM_run/90000/iterations:10000",10000,5363.23,5355.38,ns,,,,,,0,19,90000,10475
"BM_run/100000/iterations:10000",10000,5714.12,5704.39,ns,,,,,,0,9,100000,10444
"BM_run/200000/iterations:10000",10000,9063.98,9050.61,ns,,,,,,0,6,200000,10326
