Data structure size: 91821312512 bits, construction time: 89286815471 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1386.21,1387.34,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,945.316,942.837,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,2385.43,2382.4,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,1360.67,1355.37,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,2623.48,2617.31,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,1749.09,1743.13,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,2697.51,2690.83,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,1645.08,1638.26,ns,,,,,,0,8,8,2.84488e+07
"BM_run/9/iterations:10000",10000,2218.27,2210.89,ns,,,,,,0,14,9,1.25244e+07
"BM_run/10/iterations:10000",10000,2157.28,2148.87,ns,,,,,,0,10,10,7.02439e+06
"BM_run/20/iterations:10000",10000,2821.61,2809.52,ns,,,,,,0,16,20,939030
"BM_run/30/iterations:10000",10000,2929.29,2919.9,ns,,,,,,0,14,30,253131
"BM_run/40/iterations:10000",10000,3126.15,3117.24,ns,,,,,,0,13,40,458713
"BM_run/50/iterations:10000",10000,3128.59,3119.62,ns,,,,,,0,13,50,151362
"BM_run/60/iterations:10000",10000,3206.36,3197.11,ns,,,,,,0,19,60,37337
"BM_run/70/iterations:10000",10000,3422.45,3413.22,ns,,,,,,0,9,70,19942
"BM_run/80/iterations:10000",10000,3397.66,3388.11,ns,,,,,,0,11,80,22011
"BM_run/90/iterations:10000",10000,3410.54,3401.35,ns,,,,,,0,13,90,19057
"BM_run/100/iterations:10000",10000,3432.75,3424.19,ns,,,,,,0,14,100,18546
"BM_run/200/iterations:10000",10000,3738.77,3729.91,ns,,,,,,0,17,200,15711
"BM_run/300/iterations:10000",10000,4044.69,4034.11,ns,,,,,,0,17,300,14682
"BM_run/400/iterations:10000",10000,4105.08,4095.69,ns,,,,,,0,15,400,14251
"BM_run/500/iterations:10000",10000,4166.95,4157.23,ns,,,,,,0,10,500,14009
"BM_run/600/iterations:10000",10000,4512.41,4502.62,ns,,,,,,0,11,600,13967
"BM_run/700/iterations:10000",10000,4536.56,4526.84,ns,,,,,,0,9,700,13870
"BM_run/800/iterations:10000",10000,4556.99,4546.88,ns,,,,,,0,9,800,13800
"BM_run/900/iterations:10000",10000,4577.45,4568.46,ns,,,,,,0,7,900,13832
"BM_run/1000/iterations:10000",10000,4675.16,4665.23,ns,,,,,,0,14,1000,13699
"BM_run/2000/iterations:10000",10000,5044.43,5034.43,ns,,,,,,0,14,2000,13211
"BM_run/3000/iterations:10000",10000,5324.18,5311.33,ns,,,,,,0,11,3000,12906
"BM_run/4000/iterations:10000",10000,5563.07,5552.21,ns,,,,,,0,12,4000,12554
"BM_run/5000/iterations:10000",10000,5714.29,5703.07,ns,,,,,,0,8,5000,12357
"BM_run/6000/iterations:10000",10000,6038.65,6027.65,ns,,,,,,0,9,6000,12129
"BM_run/7000/iterations:10000",10000,6279.67,6267.19,ns,,,,,,0,14,7000,12103
"BM_run/8000/iterations:10000",10000,6526.48,6511.72,ns,,,,,,0,10,8000,11897
"BM_run/9000/iterations:10000",10000,6590.11,6577.91,ns,,,,,,0,12,9000,11802
"BM_run/10000/iterations:10000",10000,6873.66,6862.22,ns,,,,,,0,11,10000,11741
"BM_run/20000/iterations:10000",10000,9195.26,9181.27,ns,,,,,,0,8,20000,11117
"BM_run/30000/iterations:10000",10000,11550.4,11536.2,ns,,,,,,0,17,30000,10886
"BM_run/40000/iterations:10000",10000,13773,13759.1,ns,,,,,,0,9,40000,10789
"BM_run/50000/iterations:10000",10000,15935.9,15919,ns,,,,,,0,15,50000,10646
"BM_run/60000/iterations:10000",10000,18110.1,18091.1,ns,,,,,,0,13,60000,10605
"BM_run/70000/iterations:10000",10000,20348.1,20327.6,ns,,,,,,0,12,70000,10539
"BM_run/80000/iterations:10000",10000,22493,22470.5,ns,,,,,,0,7,80000,10490
"BM_run/90000/iterations:10000",10000,24735.2,24708.2,ns,,,,,,0,9,90000,10475
"BM_run/100000/iterations:10000",10000,26830.6,26803.9,ns,,,,,,0,8,100000,10444
"BM_run/200000/iterations:10000",10000,48539.7,48487.3,ns,,,,,,0,10,200000,10326
"BM_run/300000/iterations:10000",10000,70422.9,70348.3,ns,,,,,,0,6,300000,10206
"BM_run/400000/iterations:10000",10000,92220.3,92125.2,ns,,,,,,0,11,400000,10125
"BM_run/500000/iterations:10000",10000,114121,113992,ns,,,,,,0,7,500000,10062
"BM_run/600000/iterations:10000",10000,136086,135931,ns,,,,,,0,6,600000,10043
"BM_run/700000/iterations:10000",10000,157892,157699,ns,,,,,,0,10,700000,10031
"BM_run/800000/iterations:10000",10000,180200,179968,ns,,,,,,0,10,800000,10019
"BM_run/900000/iterations:10000",10000,202170,201916,ns,,,,,,0,9,900000,10009
"BM_run/1000000/iterations:10000",10000,223678,223376,ns,,,,,,0,11,1e+06,10000
"BM_run/2000000/iterations:10000",10000,444480,443777,ns,,,,,,0,8,2e+06,10000
"BM_run/3000000/iterations:10000",10000,664416,663325,ns,,,,,,0,10,3e+06,10000
"BM_run/4000000/iterations:10000",10000,884470,883012,ns,,,,,,0,7,4e+06,10000
"BM_run/5000000/iterations:10000",10000,1.10383e+06,1.102e+06,ns,,,,,,0,8,5e+06,10000
"BM_run/6000000/iterations:10000",10000,1.32517e+06,1.32298e+06,ns,,,,,,0,9,6e+06,10000
"BM_run/7000000/iterations:10000",10000,1.54392e+06,1.54135e+06,ns,,,,,,0,11,7e+06,10000
"BM_run/8000000/iterations:10000",10000,1.76339e+06,1.76044e+06,ns,,,,,,0,7,8e+06,10000
"BM_run/9000000/iterations:10000",10000,1.98574e+06,1.98238e+06,ns,,,,,,0,7,9e+06,10000
"BM_run/10000000/iterations:10000",10000,2.20624e+06,2.20246e+06,ns,,,,,,0,10,1e+07,10000
"BM_run/20000000/iterations:10000",10000,4.41376e+06,4.40625e+06,ns,,,,,,0,6,2e+07,10000
"BM_run/30000000/iterations:10000",10000,6.61506e+06,6.60372e+06,ns,,,,,,0,9,3e+07,10000
"BM_run/40000000/iterations:10000",10000,8.80487e+06,8.79153e+06,ns,,,,,,0,13,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.10064e+07,1.09902e+07,ns,,,,,,0,12,5e+07,10000
"BM_run/60000000/iterations:10000",10000,1.31956e+07,1.31766e+07,ns,,,,,,0,7,6e+07,10000
"BM_run/70000000/iterations:10000",10000,1.53851e+07,1.53636e+07,ns,,,,,,0,7,7e+07,10000
"BM_run/80000000/iterations:10000",10000,1.75757e+07,1.75514e+07,ns,,,,,,0,9,8e+07,10000
"BM_run/90000000/iterations:10000",10000,1.97506e+07,1.97234e+07,ns,,,,,,0,16,9e+07,10000
