Data structure size: 40265319552 bits, construction time: 17342659488 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,406.575,408.051,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,645.922,646.703,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,1976.72,1969.94,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,3622.36,3606.7,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,4633.11,4613.43,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,4898.43,4876.64,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,4970.29,4947.09,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,4986.73,4967.44,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,5008.83,4983,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,5006.37,4983.48,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,5093.02,5068.73,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,5077.15,5055.45,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,5097.73,5077.65,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,5110,5089.12,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,5097.55,5074.22,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,5166.03,5146.08,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,5123.55,5098.8,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,5125.03,5101.1,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,5123.24,5105.38,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,5159.39,5137.57,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,5164.75,5143.91,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,5180.45,5159.27,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,5206.24,5188.28,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,5190.81,5172.51,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,5218.21,5197.88,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,5244.47,5223.08,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,5228.35,5207.39,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,5257.66,5234.42,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,5292.19,5268.59,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,5319.63,5297.08,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,5347.12,5322.45,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,5442.01,5416.4,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,5418.78,5393.42,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,5460.94,5440.25,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,5494.68,5473.77,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,5487.81,5464.88,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,5537.29,5514.15,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,5819.04,5794.48,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,6130.9,6100.94,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,6405.9,6379.14,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,6647.79,6617.87,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,6898.47,6865.97,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,7152.47,7114.02,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,7394.79,7358.82,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,7591.24,7555.62,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,7854.06,7811.94,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,10239.3,10179,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,12689,12613.5,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,15298.6,15200.4,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,17740.3,17633.1,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,20391.4,20265.5,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,22928.2,22788.5,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,25493.1,25341.8,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,28117.4,27955.6,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,30683.5,30528.8,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,59302.5,59084,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,90988.3,90633,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,125350,124836,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,163012,162324,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,203709,202855,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,248172,247145,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,295869,294634,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,347251,345778,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,401875,400097,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,1.02156e+06,1.01725e+06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.76044e+06,1.75351e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,2.56692e+06,2.55737e+06,ns,,,,,,0,0,4e+07,10000
