Data structure size: 91811481728 bits, construction time: 73314000441 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,262.939,263.525,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,288.748,289.242,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,941.168,940.569,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,699.804,697.839,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1546.27,1543.36,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,1284.74,1281.15,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,1506.6,1503.02,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,1473.65,1470.77,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,1549.16,1545.13,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,1615.03,1611.09,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,1836.43,1832.58,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1951.69,1949.7,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,2068.84,2065.2,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,2122.36,2118.86,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,2203.94,2201.69,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,2245.48,2242.47,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,2290.16,2288.22,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,2323.21,2320.7,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,2353.48,2351.07,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,2562.56,2560.48,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,2762.16,2759.45,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,2832.78,2829.87,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,2925.04,2922.74,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,3103.07,3100.61,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,3130.57,3127.47,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,3158.23,3155.17,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,3190.35,3187.81,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,3197.75,3195.46,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,3544.55,3540.48,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,4008.39,4003.69,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,4019.76,4015.56,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,4418.14,4413.81,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,4470.27,4465.38,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,4450.91,4446.31,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,4465.84,4460.69,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,5093.58,5087.89,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,5087.01,5081.51,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,6144.32,6136.74,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,6262.88,6256.03,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,7936.92,7928.32,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,8097.65,8091.05,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,8237.9,8230.72,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,8348.39,8340.94,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,8453.85,8446.66,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,8562.83,8554.76,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,8668.29,8661.09,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,9828.55,9820.02,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,11200.1,11185,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,12715.6,12696.2,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,14362.1,14337.6,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,16146.2,16114.8,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,18003.9,17964.5,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,19887.2,19843.7,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,21731.3,21677.6,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,23745.4,23691.9,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,54560.3,54439.4,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,88906.1,88689.7,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,124247,123944,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,160963,160562,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,197954,197449,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,235215,234620,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,272547,271843,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,311246,310413,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,350350,349427,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,748376,746412,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.15513e+06,1.15201e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.53771e+06,1.53404e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.924e+06,1.91978e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.31648e+06,2.31126e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.71137e+06,2.70535e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.10332e+06,3.09662e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.49587e+06,3.48848e+06,ns,,,,,,0,0,9e+07,10000
