Data structure size: 40265319552 bits, construction time: 12152512577 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,152.405,152.792,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,166.15,167.371,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,186.772,187.54,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,226.996,227.537,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,347.937,348.562,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,562.938,563.021,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,722.038,721.775,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,948.985,947.536,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,1206.36,1204.06,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,1418.84,1416.62,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1713.81,1711.72,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,1706.66,1704.09,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1712.5,1709.84,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1697.92,1696.2,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1697.69,1695.31,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1702.67,1700.31,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1715.84,1714.3,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1706.4,1704.1,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1701.02,1699.25,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1707.23,1704.11,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1713.27,1711.06,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1709.84,1707.4,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1712.24,1710.1,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1747.52,1744.72,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1721.57,1719.36,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1725.91,1723.65,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1729.59,1727.25,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1728.98,1726.71,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1749.63,1746.21,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1799.93,1796.58,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1820.44,1817.06,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1819.27,1814.74,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1839.74,1836.75,ns,,,,,,0,0,6000,10000
