Data structure size: 91811481728 bits, construction time: 80681560180 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,221.517,221.832,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,232.736,233.93,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,315.477,316.57,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,278.378,278.879,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,469.545,469.408,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,700.089,699.364,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,960.666,958.577,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,741.307,739.296,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,1149.63,1145.43,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,1274.28,1271.08,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,2116.78,2112.98,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,2146.79,2142.88,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,2120.79,2116.05,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,2120.34,2116.95,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,2116.84,2113.26,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,2118.75,2115.33,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,2116.44,2112.4,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,2150.23,2146.38,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,2119.09,2114.92,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,2119.77,2114.96,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,2128.75,2124.9,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,2120.22,2116.14,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,2126.01,2121.68,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,2151.34,2147.08,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,2130.26,2125.95,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,2134.57,2130.82,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,2137.03,2133.37,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,2130.18,2126.18,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,2170.53,2165.59,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,2182.52,2177.89,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,2171.54,2166.97,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,2178.18,2173.14,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,2195.88,2191.25,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,2200.52,2194.23,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,2237.91,2232.76,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,2234.5,2229.54,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,2228.19,2222.87,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,2329.85,2323.4,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,2425.17,2417.68,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,2588.34,2581.66,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,2737,2731.09,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,2858.04,2851.66,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,2959.81,2953.59,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,3071.25,3063.47,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,3201.55,3194.71,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,3316.43,3309.57,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4538.11,4527.76,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,6015.22,5999.11,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,7699.11,7677.98,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,9476.03,9449.77,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,11370.8,11334.3,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,13319.6,13273.1,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,15283,15235,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,17272.6,17214.4,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,19358,19295.5,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,50532.5,50396.3,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,84663.1,84429.8,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,119915,119618,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,156647,156254,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,193348,192897,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,231123,230592,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,268316,267686,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,306956,306254,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,345993,345182,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,743243,741572,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.15172e+06,1.14914e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.53602e+06,1.53303e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.92317e+06,1.91967e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.31615e+06,2.31189e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.71157e+06,2.70666e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.10341e+06,3.09792e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.49664e+06,3.49043e+06,ns,,,,,,0,0,9e+07,10000
