Data structure size: 91821312512 bits, construction time: 80111785358 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,778.457,779.928,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,755.204,755.935,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,1114.89,1118.47,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,829.625,831.858,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,1470.82,1474.06,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,1534.29,1536.84,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,2521.98,2523.06,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,1602.14,1602.09,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,2707.85,2707.45,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,2262.61,2261.85,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,3729.18,3725.59,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,3793.78,3790.24,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,3728.87,3725.12,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,3780.89,3778.05,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,3730.23,3726.98,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,3784.35,3780.55,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,3717.93,3715.22,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,3797.01,3793.74,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,3725.27,3722.75,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,3752.77,3749.03,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,3770.33,3766.41,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,3753.46,3749.48,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,3774.29,3770.15,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,3757.9,3754.87,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,3789.73,3786.81,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,3780.05,3776.26,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,3790.42,3787.17,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,3792.72,3788.81,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3843.84,3839.84,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3977.53,3973.31,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,4024.66,4020.5,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,4149.67,4144.71,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,4200.85,4196.54,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,4329.59,4324.05,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,4383.01,4378.95,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,4500.04,4495.13,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,4553.44,4548.22,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,5439.28,5433.53,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,6337.45,6331.29,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,7237.15,7229.13,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,8118.18,8110.53,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,9004.69,8996.36,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,9887.53,9876.67,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,10763.7,10750.1,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,11576.9,11560,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,12418.8,12403.3,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,21076.2,21051.2,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,29766.8,29726.1,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,38355.9,38302.9,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,47149.9,47078.7,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,55871.4,55785.2,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,64629.4,64531.6,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,73376.1,73256.9,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,82135.5,82000.1,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,91028.6,90870.7,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,179961,179636,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,269484,268976,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,359180,358504,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,448444,447596,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,538222,537200,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,627704,626502,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,718598,717230,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,809031,807507,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,899208,897521,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,1.81314e+06,1.80967e+06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,2.73868e+06,2.73322e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,3.63863e+06,3.63221e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,4.52447e+06,4.51602e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,5.42848e+06,5.41756e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,6.36051e+06,6.3482e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,7.25596e+06,7.24207e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,8.16406e+06,8.14858e+06,ns,,,,,,0,0,9e+07,10000
