Data structure size: 91837696512 bits, construction time: 41962162031 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,225.386,226.29,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,211.093,211.76,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,252.129,253.164,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,262.77,263.375,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,474.036,475.289,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,588.589,588.158,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,934.63,935.458,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,748.644,746.718,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,1063.91,1062.87,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,821.233,817.902,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1279.85,1277.78,ns,,,,,,0,6,20,10001
"BM_run/30/iterations:10000",10000,1303.16,1301.16,ns,,,,,,0,3,30,10000
"BM_run/40/iterations:10000",10000,1285.03,1283.27,ns,,,,,,0,7,40,10000
"BM_run/50/iterations:10000",10000,1281.43,1279.63,ns,,,,,,0,2,50,10000
"BM_run/60/iterations:10000",10000,1281.14,1279.2,ns,,,,,,0,2,60,10000
"BM_run/70/iterations:10000",10000,1283.95,1281.99,ns,,,,,,0,4,70,10000
"BM_run/80/iterations:10000",10000,1263.61,1261.25,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1281.38,1279.97,ns,,,,,,0,3,90,10000
"BM_run/100/iterations:10000",10000,1287.16,1285.42,ns,,,,,,0,2,100,10000
"BM_run/200/iterations:10000",10000,1289.03,1286.88,ns,,,,,,0,7,200,10000
"BM_run/300/iterations:10000",10000,1303.54,1302.19,ns,,,,,,0,2,300,10000
"BM_run/400/iterations:10000",10000,1298.5,1295.97,ns,,,,,,0,1,400,10000
"BM_run/500/iterations:10000",10000,1315.02,1313.27,ns,,,,,,0,2,500,10000
"BM_run/600/iterations:10000",10000,1322.06,1319.69,ns,,,,,,0,2,600,10000
"BM_run/700/iterations:10000",10000,1323.6,1320.87,ns,,,,,,0,3,700,10000
"BM_run/800/iterations:10000",10000,1319.28,1316.55,ns,,,,,,0,1,800,10000
"BM_run/900/iterations:10000",10000,1346.84,1344.51,ns,,,,,,0,2,900,10000
"BM_run/1000/iterations:10000",10000,1332.64,1331.24,ns,,,,,,0,4,1000,10000
