Data structure size: 53156776064 bits, construction time: 30994529855 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,389.255,389.987,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,565.289,563.18,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3395.77,3390.02,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,726.768,720.659,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,1040.66,1034.66,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,1319.1,1312.72,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,1320.51,1313.73,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,1313.8,1306.97,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,1326.72,1320.36,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,1314.81,1308.21,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,1316.65,1309.86,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,1316.59,1309.82,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1325.1,1318.13,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1318.41,1311.34,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1318.78,1312.74,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1318.54,1312.79,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1320.01,1314.25,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1316.61,1310.73,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1313.89,1308.15,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1324.44,1319.09,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1316.59,1311.06,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1321.77,1316.03,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1320.75,1315.65,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1322.93,1317.13,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1320.23,1314.43,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1323.15,1317.67,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1323.02,1317.04,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1334.46,1328.87,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1344.26,1337.31,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1345.18,1338.86,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1357.16,1349.13,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1365.38,1358.64,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1372.47,1365.59,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1380.33,1372.9,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1399.33,1391.03,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1398.76,1390.9,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1408.87,1400.78,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1493.08,1485.24,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1579.23,1572.25,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1711.23,1705.28,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1881.15,1877.93,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1997.37,1992.03,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,2116.54,2111.71,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,2227.57,2222.67,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,2340.78,2335.93,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2452.89,2447.21,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3641.11,3630.56,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,5109.08,5096.03,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,6805.9,6783.23,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,8610.67,8581.79,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,10516.5,10480,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,12456.2,12413,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,14386,14334.9,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,16322.9,16262.4,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,18366.4,18298.1,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,49838.6,49715.3,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,84363.9,84154,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,119836,119546,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,156911,156543,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,194151,193703,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,231989,231432,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,269699,269068,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,308753,308060,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,348381,347598,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,748909,747266,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.15955e+06,1.15694e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.5473e+06,1.54424e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.93928e+06,1.9357e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.33468e+06,2.33033e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.73082e+06,2.72586e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.12578e+06,3.12025e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.52352e+06,3.51717e+06,ns,,,,,,0,0,9e+07,10000
