Data structure size: 53163329664 bits, construction time: 21172506804 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,340.233,340.619,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,500.703,499.363,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3240.9,3235.98,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,656.114,651.151,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,719.414,714.45,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,730.151,724.502,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,730.353,724.87,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,732.044,727.196,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,728.107,723.3,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,737.821,732.726,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,725.213,720.399,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,744.426,739.2,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,730.038,725.261,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,726.705,721.549,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,731.441,726.958,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,729.538,725.102,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,728.71,723.753,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,730.683,725.688,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,730.31,725.346,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,738.352,733.807,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,728.375,723.19,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,735.364,730.876,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,730.941,726.086,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,736.469,731.503,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,736.113,730.584,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,732.676,727.735,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,737.16,732.256,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,749.521,744.684,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,744.682,738.757,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,759.808,753.774,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,773.836,766.933,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,782.037,775.079,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,785.851,779.642,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,786.419,779.644,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,794.799,788.654,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,819.463,813.271,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,817.498,810.687,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,896.872,888.574,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,987.197,980.719,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1106.92,1101.71,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1278.53,1275.54,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1399.19,1395.48,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1505.18,1501.36,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1617.88,1613.4,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1727.88,1722.96,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,1839.51,1835.63,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3015.16,3004.77,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,4477.57,4465.25,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,6175.42,6157.37,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,8014.02,7987.63,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,9889.76,9855.69,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,11789.4,11746.6,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,13711.1,13659.5,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,15607.1,15555.6,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,17703.4,17641.2,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,48988,48857.6,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,83548.3,83325.5,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,119106,118794,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,156037,155635,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,193294,192788,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,231090,230499,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,268868,268182,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,308209,307411,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,347809,346916,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,749083,747187,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.16007e+06,1.15709e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.54758e+06,1.5441e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.94093e+06,1.93668e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.33784e+06,2.3328e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.73719e+06,2.73136e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.13279e+06,3.12634e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.53131e+06,3.52413e+06,ns,,,,,,0,0,9e+07,10000
