Data structure size: 53234108352 bits, construction time: 19261780479 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,341.175,340.816,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,503.793,500.629,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3226.65,3220.19,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,660.918,653.572,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,725.593,717.805,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,752.19,745.513,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,752.407,746.187,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,747.361,741.011,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,751.113,744.406,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,747.703,741.214,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,754.204,747.636,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,747.702,741.261,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,752.052,745.567,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,747.447,740.92,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,745.738,739.336,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,747.065,740.964,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,752.329,745.583,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,751.388,744.773,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,749.592,743.012,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,750.982,744.886,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,757.973,751.295,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,749.799,743.697,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,750.962,744.765,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,753.393,746.115,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,760.928,755.071,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,753.201,746.594,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,753.056,746.486,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,756.942,749.911,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,771,763.102,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,778.936,771.433,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,786.534,778.245,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,794.994,787.158,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,816.036,807.624,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,818.912,809.915,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,825.918,816.934,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,838.882,829.876,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,854.924,846.54,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,941.518,932.15,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1047.29,1040.29,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1198.51,1192.37,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1404.77,1399.74,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1542.13,1538.21,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1681.53,1677.21,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1811.06,1804.98,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1950.75,1944.14,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2072.63,2066.99,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3472.64,3464.01,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,5099.65,5084.62,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,6950.13,6928.31,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,8878.08,8848.89,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,10906.7,10869.4,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,12951.3,12907.1,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,15016.8,14962.7,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,17072.4,17011.8,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,19324.7,19257.5,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,50525.3,50399.8,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,85141.3,84929.9,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,121111,120827,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,158686,158294,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,196560,196105,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,234781,234253,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,273063,272453,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,312771,312058,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,352910,352119,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,757921,756297,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.173e+06,1.17047e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.56486e+06,1.5619e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.96312e+06,1.95969e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.36478e+06,2.36052e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.76908e+06,2.76416e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.16953e+06,3.16394e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.5733e+06,3.56695e+06,ns,,,,,,0,0,9e+07,10000
