Data structure size: 57445399168 bits, construction time: 20189742745 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,325.145,325.511,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,508.121,506.877,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3217.88,3212.95,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,662.06,655.946,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,996.824,990.655,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,1218.97,1212.89,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,1221.52,1215.99,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,1228.54,1222.86,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,1226.84,1221.53,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,1225.97,1220.32,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,1213.71,1207.86,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,1227.29,1222.05,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1218.81,1213.99,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1217.9,1212.44,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1225.29,1220.24,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1218.17,1213.26,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1227.63,1222.18,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1219.13,1213.3,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1213.99,1208.8,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1211.34,1206.43,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1229.64,1224.6,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1214.91,1209.86,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1222.53,1217.84,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1220.07,1215.27,ns,,,,,,0,0,600,10000
