Data structure size: 13421773248 bits, construction time: 4658365144 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,6.13017e+06,6.12688e+06,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,101175,101115,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,4433.1,4428.74,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,2048.69,2044.62,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,1861.82,1859.48,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,1891.55,1888.79,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,1890.16,1887.26,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,1919.61,1916.77,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,1905.81,1902.91,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,1887.91,1885.84,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,1928.19,1925.27,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,1967.36,1964.56,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1977.12,1974.92,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1979.18,1978.36,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1996.35,1994.92,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1992.65,1991.51,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1993.48,1990.96,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1982.46,1980.63,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,2001.54,1999.86,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,2031.37,2029.56,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,2053.79,2052.3,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,2115.97,2114.43,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,2164.92,2162.14,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,2189.52,2187.43,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,2239.04,2236.31,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,2271.25,2268.62,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,2321.86,2319.65,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,2369.94,2367.5,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,2800.3,2795.89,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3206.02,3201.09,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3627.21,3622.47,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,4019.99,4014.89,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,4395.25,4390.87,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,4807.47,4802.21,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,5199.07,5192.61,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,5604.66,5597.83,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,6017.94,6011.39,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,10109,10099.1,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,14154.8,14144.3,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,18215.7,18200.4,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,22232.8,22214.5,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,26280.7,26258.1,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,30396.3,30368.7,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,34387.5,34358.2,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,38474.9,38440.1,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,42496.7,42455.1,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,83002.8,82925.9,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,123704,123587,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,164258,164107,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,204958,204764,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,245458,245218,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,286976,286693,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,327522,327187,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,366904,366528,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,411268,410822,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,810989,809942,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,1.21349e+06,1.2119e+06,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,1.61696e+06,1.61493e+06,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,2.02718e+06,2.02453e+06,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,2.42438e+06,2.42097e+06,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,2.83442e+06,2.83043e+06,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,3.23261e+06,3.22797e+06,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,3.64279e+06,3.63764e+06,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,4.04182e+06,4.03601e+06,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,8.08194e+06,8.06969e+06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.21249e+07,1.2106e+07,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.61614e+07,1.61378e+07,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,2.02075e+07,2.01766e+07,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.42414e+07,2.42037e+07,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.82601e+07,2.8224e+07,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.23129e+07,3.22675e+07,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.63494e+07,3.62957e+07,ns,,,,,,0,0,9e+07,10000
