Data structure size: 40265319552 bits, construction time: 10847665198 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,431.333,431.895,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,1825.07,1824.1,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,3474.22,3470.19,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,4640.48,4635.37,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,5384.04,5377.54,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,5967.06,5959.7,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,6198.61,6191.76,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,6467.39,6459.83,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,6622.3,6614.69,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,6734.98,6727.72,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,7072.55,7064.56,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,7097.34,7089.95,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,7181.58,7173.48,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,7201.57,7192.53,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,7317.91,7309.76,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,7295.03,7288.17,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,7227.98,7218.66,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,7273.67,7264.19,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,7200.48,7192.08,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,7294.91,7286.1,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,7310.2,7301.8,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,7262.22,7253.55,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,7360.35,7352.56,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,7330.42,7322.77,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,7249.41,7239.27,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,7307.25,7298.4,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,7360.87,7352.69,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,7326.32,7316.63,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,7456.22,7447.74,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,7350.81,7341.76,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,7417.19,7406.83,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,7433.49,7424.61,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,7488.73,7480,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,7489.21,7481,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,7527.86,7519.05,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,7503.17,7494.82,ns,,,,,,0,0,9000,36058
"BM_run/10000/iterations:10000",10000,7575.85,7565.7,ns,,,,,,0,0,10000,35401
"BM_run/20000/iterations:10000",10000,7887.03,7876.34,ns,,,,,,0,0,20000,27279
"BM_run/30000/iterations:10000",10000,8080.14,8070.32,ns,,,,,,0,0,30000,15335
"BM_run/40000/iterations:10000",10000,8368.33,8358.35,ns,,,,,,0,0,40000,10685
"BM_run/50000/iterations:10000",10000,8607.49,8596.03,ns,,,,,,0,0,50000,14084
"BM_run/60000/iterations:10000",10000,8844.14,8834.36,ns,,,,,,0,0,60000,12024
"BM_run/70000/iterations:10000",10000,8993.09,8981.37,ns,,,,,,0,0,70000,10022
"BM_run/80000/iterations:10000",10000,9300,9287.49,ns,,,,,,0,0,80000,10645
"BM_run/90000/iterations:10000",10000,9476.82,9463.35,ns,,,,,,0,0,90000,10028
"BM_run/100000/iterations:10000",10000,9701.43,9686.59,ns,,,,,,0,0,100000,10016
"BM_run/200000/iterations:10000",10000,12060.6,12039.6,ns,,,,,,0,0,200000,10005
"BM_run/300000/iterations:10000",10000,14551.1,14523.7,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,17284.2,17246.2,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,19962.7,19917.1,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,22556.5,22504.2,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,25304.5,25243,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,27915,27841.4,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,30733.4,30654.3,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,33525.2,33439.5,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,67632.3,67458.1,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,102953,102689,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,139499,139156,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,177350,176902,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,214854,214372,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,253533,252956,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,291893,291232,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,330680,329941,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,369858,369053,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,772769,771114,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.1842e+06,1.18159e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.57076e+06,1.56774e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.96582e+06,1.96221e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.3629e+06,2.3585e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.76375e+06,2.75874e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.15834e+06,3.15273e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.55519e+06,3.54892e+06,ns,,,,,,0,0,9e+07,10000
