Data structure size: 91811481728 bits, construction time: 72400704823 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,572.603,572.811,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,456.958,452.181,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,2072.81,2066.08,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,719.363,711.659,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1530.56,1522.58,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,1366.3,1356.85,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1767.61,1758.89,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,940.276,931.587,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,1289.57,1280.02,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,1404.14,1394.84,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1703.54,1694.83,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1966.66,1960.17,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,2037.87,2029.66,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,2140.48,2132.37,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,2188.17,2180.63,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,2326.77,2318.68,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,2366.49,2358.27,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,2393.48,2385.38,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,2415.91,2408.73,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,2718.76,2710.99,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,2986.82,2978.13,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,3039.05,3030.97,ns,,,,,,0,0,400,447566
