Data structure size: 91888814016 bits, construction time: 32840431570 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,510.021,510.683,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,374.425,370.862,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,1914.45,1909.63,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,641.388,634.33,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1264.65,1257.4,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,854.599,846.822,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1120.25,1112.49,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,747.449,739.913,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,894.245,886.075,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,853.299,844.354,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,996.424,988.098,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1100.95,1092.74,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,1096.61,1088.14,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,1126.57,1118.33,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,1136.49,1128.59,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,1182.46,1174.49,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,1205.15,1197.2,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,1208.13,1199.83,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,1214.53,1206.83,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,1346.1,1339.29,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,1453.5,1446.86,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,1483.35,1475.78,ns,,,,,,0,0,400,447566
