Data structure size: 13421773248 bits, construction time: 2847193996 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1.56928e+07,1.56843e+07,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,1.73336e+06,1.7324e+06,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,618382,618025,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,324856,324654,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,193604,193475,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,115317,115235,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,75905.7,75848.2,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,52778.2,52735.7,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,46058.1,46021,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,39327,39286.4,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,11019.4,11004.1,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,6481.84,6469.7,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,4967.73,4958.38,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,4038.41,4028.9,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,3489.27,3480.13,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,3279.33,3271.84,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,3228.59,3219.74,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,3211.37,3203.49,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,3227.75,3220.06,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,3266.28,3257.93,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,3334.12,3326.24,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,3353.01,3344.66,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,3382.21,3375.19,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,3455.86,3446.64,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,3417.15,3408.55,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,3493.53,3485.97,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,3483.57,3475.81,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,3569.63,3561.68,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,3859.82,3850.56,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,4304.93,4291.1,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,4716.29,4704.25,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,5138.3,5126.62,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,5546.81,5534.47,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,5959.47,5948.28,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,6374.57,6361.65,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,6809.28,6797.21,ns,,,,,,0,0,9000,36058
