Data structureconstruction time: 935246897442 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4761830,145.082,145.991,ns,,,,,,0,0,1,9.98628e+14
"BM_run/2",342741,2034.25,2039.42,ns,,,,,,0,0,2,2.50907e+12
"BM_run/3",85998,8093.31,8092.98,ns,,,,,,0,0,3,1.04652e+11
"BM_run/4",34807,19770.4,19758.5,ns,,,,,,0,0,4,2.02279e+10
"BM_run/5",21411,32592.6,32567.3,ns,,,,,,0,0,5,7.97635e+09
"BM_run/6",15999,43537.1,43504.3,ns,,,,,,0,0,6,4.63301e+09
"BM_run/7",13308,52632.2,52591.8,ns,,,,,,0,0,7,3.08935e+09
"BM_run/8",11418,60421.3,60372.3,ns,,,,,,0,0,8,2.09549e+09
"BM_run/9",10206,68095.5,68041.3,ns,,,,,,0,0,9,1.50083e+09
"BM_run/10",9152,75413,75353.7,ns,,,,,,0,0,10,1.14472e+09
"BM_run/20",4487,153720,153592,ns,,,,,,0,0,20,9.29292e+07
"BM_run/30",3045,232417,232199,ns,,,,,,0,0,30,2.95055e+07
"BM_run/40",2378,291126,290861,ns,,,,,,0,0,40,1.02135e+07
"BM_run/50",1995,347868,347543,ns,,,,,,0,0,50,1.47269e+06
"BM_run/60",1738,400713,400344,ns,,,,,,0,0,60,338628
"BM_run/70",1628,445930,445507,ns,,,,,,0,0,70,76400
"BM_run/80",1500,474588,474121,ns,,,,,,0,0,80,70809
"BM_run/90",1399,512130,511652,ns,,,,,,0,0,90,19599
"BM_run/100",1307,522673,522177,ns,,,,,,0,0,100,23062
"BM_run/200",865,831199,830413,ns,,,,,,0,0,200,865
"BM_run/300",636,1.06725e+06,1.06629e+06,ns,,,,,,0,0,300,636
"BM_run/400",521,1.32654e+06,1.32533e+06,ns,,,,,,0,0,400,521
"BM_run/500",482,1.54099e+06,1.5396e+06,ns,,,,,,0,0,500,482
"BM_run/600",366,1.71014e+06,1.70856e+06,ns,,,,,,0,0,600,366
"BM_run/700",370,1.99734e+06,1.99558e+06,ns,,,,,,0,0,700,370
"BM_run/800",309,2.23695e+06,2.23497e+06,ns,,,,,,0,0,800,309
"BM_run/900",301,2.31639e+06,2.31433e+06,ns,,,,,,0,0,900,301
"BM_run/1000",287,2.59688e+06,2.59459e+06,ns,,,,,,0,0,1000,287
"BM_run/2000",100,5.10294e+06,5.09873e+06,ns,,,,,,0,0,2000,100
"BM_run/3000",79,6.3728e+06,6.36739e+06,ns,,,,,,0,0,3000,79
"BM_run/4000",70,8.65741e+06,8.65036e+06,ns,,,,,,0,0,4000,70
"BM_run/5000",70,1.0374e+07,1.03652e+07,ns,,,,,,0,0,5000,70
"BM_run/6000",56,1.17324e+07,1.17224e+07,ns,,,,,,0,0,6000,56
"BM_run/7000",64,1.37784e+07,1.37668e+07,ns,,,,,,0,0,7000,64
"BM_run/8000",40,1.87186e+07,1.8704e+07,ns,,,,,,0,0,8000,40
"BM_run/9000",34,1.73118e+07,1.7297e+07,ns,,,,,,0,0,9000,34
"BM_run/10000",37,2.05546e+07,2.05383e+07,ns,,,,,,0,0,10000,37
"BM_run/20000",13,4.44804e+07,4.44468e+07,ns,,,,,,0,0,20000,13
"BM_run/30000",14,8.40954e+07,8.40329e+07,ns,,,,,,0,0,30000,14
"BM_run/40000",10,8.98816e+07,8.98139e+07,ns,,,,,,0,0,40000,10
"BM_run/50000",9,7.36961e+07,7.36324e+07,ns,,,,,,0,0,50000,9
"BM_run/60000",10,9.54879e+07,9.54081e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",8,1.08464e+08,1.0837e+08,ns,,,,,,0,0,70000,8
"BM_run/80000",7,9.04582e+07,9.03686e+07,ns,,,,,,0,0,80000,7
"BM_run/90000",6,1.86763e+08,1.86618e+08,ns,,,,,,0,0,90000,6
"BM_run/100000",9,2.16634e+08,2.16469e+08,ns,,,,,,0,0,100000,9
"BM_run/200000",1,5.9604e+08,5.95626e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",1,5.01307e+08,5.00871e+08,ns,,,,,,0,0,300000,1
"BM_run/400000",1,5.58996e+08,5.58477e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",2,4.56343e+08,4.55838e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",1,9.95769e+08,9.94936e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,9.01569e+08,9.00701e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",1,9.63481e+08,9.6257e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,6.33768e+08,6.33017e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,2.73326e+09,2.73132e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,2.95331e+09,2.95073e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,2.07316e+09,2.07072e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.00901e+09,3.0056e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,7.49559e+09,7.48909e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,2.45611e+10,2.45455e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,2.33915e+10,2.3376e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,9.22099e+09,9.21191e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,5.8546e+09,5.84775e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,6.68282e+09,6.67498e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,3.157e+10,3.1543e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,7.59297e+10,7.58763e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,6.80109e+10,6.79544e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,9.95162e+10,9.94396e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,3.84514e+10,3.8406e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,1.04773e+11,1.04682e+11,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.68965e+11,1.68839e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,5.973e+10,5.96598e+10,ns,,,,,,0,0,9e+07,1
