Data structureconstruction time: 758060500517 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4618354,150.479,151.576,ns,,,,,,0,0,1,9.68539e+14
"BM_run/2",298387,2341.07,2343.86,ns,,,,,,0,0,2,1.62152e+13
"BM_run/3",295135,2368.94,2373.49,ns,,,,,,0,0,3,4.30836e+12
"BM_run/4",128672,5398.69,5399.25,ns,,,,,,0,0,4,5.12538e+11
"BM_run/5",148790,4677.66,4678.78,ns,,,,,,0,0,5,1.62796e+11
"BM_run/6",78012,8848.57,8846.95,ns,,,,,,0,0,6,2.3727e+10
"BM_run/7",54412,13029,13022.9,ns,,,,,,0,0,7,4.69026e+09
"BM_run/8",39054,17962.5,17951.8,ns,,,,,,0,0,8,9.90581e+08
"BM_run/9",52938,13174.1,13166.5,ns,,,,,,0,0,9,4.31716e+08
"BM_run/10",43725,16137.9,16128.3,ns,,,,,,0,0,10,1.34032e+08
"BM_run/20",21387,32790.4,32763.5,ns,,,,,,0,0,20,1.8589e+06
"BM_run/30",16604,42105.4,42069.7,ns,,,,,,0,0,30,243855
"BM_run/40",13389,51454.8,51411.4,ns,,,,,,0,0,40,65404
"BM_run/50",11868,59936.3,59882.5,ns,,,,,,0,0,50,25737
"BM_run/60",10341,69170.5,69105.1,ns,,,,,,0,0,60,17047
"BM_run/70",8959,76955.5,76884.4,ns,,,,,,0,0,70,12499
"BM_run/80",8153,84908.5,84830.1,ns,,,,,,0,0,80,9969
"BM_run/90",7249,93221.9,93138,ns,,,,,,0,0,90,8874
"BM_run/100",6918,103307,103217,ns,,,,,,0,0,100,8043
"BM_run/200",3836,187876,187719,ns,,,,,,0,0,200,3981
"BM_run/300",2675,269368,269140,ns,,,,,,0,0,300,2715
"BM_run/400",2058,350009,349708,ns,,,,,,0,0,400,2080
"BM_run/500",1615,420600,420253,ns,,,,,,0,0,500,1636
"BM_run/600",1000,501859,501429,ns,,,,,,0,0,600,1009
"BM_run/700",1128,574304,573817,ns,,,,,,0,0,700,1141
"BM_run/800",942,695895,695327,ns,,,,,,0,0,800,950
"BM_run/900",866,734872,734233,ns,,,,,,0,0,900,881
"BM_run/1000",882,846185,845473,ns,,,,,,0,0,1000,889
"BM_run/2000",431,1.55022e+06,1.54884e+06,ns,,,,,,0,0,2000,435
"BM_run/3000",272,2.36749e+06,2.36544e+06,ns,,,,,,0,0,3000,273
"BM_run/4000",211,3.20976e+06,3.2069e+06,ns,,,,,,0,0,4000,211
"BM_run/5000",169,4.10598e+06,4.10241e+06,ns,,,,,,0,0,5000,169
"BM_run/6000",115,4.99564e+06,4.99136e+06,ns,,,,,,0,0,6000,116
"BM_run/7000",100,5.07834e+06,5.07377e+06,ns,,,,,,0,0,7000,100
"BM_run/8000",105,6.7956e+06,6.78974e+06,ns,,,,,,0,0,8000,105
"BM_run/9000",92,7.38226e+06,7.36965e+06,ns,,,,,,0,0,9000,93
"BM_run/10000",88,8.25607e+06,8.24913e+06,ns,,,,,,0,0,10000,88
"BM_run/20000",49,1.74698e+07,1.74552e+07,ns,,,,,,0,0,20000,49
"BM_run/30000",24,2.53013e+07,2.52796e+07,ns,,,,,,0,0,30000,24
"BM_run/40000",23,2.97059e+07,2.96777e+07,ns,,,,,,0,0,40000,23
"BM_run/50000",17,5.03642e+07,5.03249e+07,ns,,,,,,0,0,50000,17
"BM_run/60000",10,5.88795e+07,5.88293e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",10,5.25091e+07,5.24626e+07,ns,,,,,,0,0,70000,10
"BM_run/80000",10,8.31843e+07,8.31181e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",7,7.65143e+07,7.64483e+07,ns,,,,,,0,0,90000,7
"BM_run/100000",10,7.57985e+07,7.57273e+07,ns,,,,,,0,0,100000,10
"BM_run/200000",7,1.83556e+08,1.83404e+08,ns,,,,,,0,0,200000,7
"BM_run/300000",3,3.55516e+08,3.55247e+08,ns,,,,,,0,0,300000,3
"BM_run/400000",4,3.42175e+08,3.41882e+08,ns,,,,,,0,0,400000,4
"BM_run/500000",2,3.69922e+08,3.69587e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",2,3.53706e+08,3.53335e+08,ns,,,,,,0,0,600000,2
"BM_run/700000",2,4.69814e+08,4.69361e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",1,6.96558e+08,6.95979e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,6.0473e+08,6.04107e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,5.70769e+08,5.70139e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,1.32632e+09,1.32495e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,4.55757e+09,4.55454e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,2.17585e+09,2.17345e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,2.87698e+09,2.87385e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,3.81584e+09,3.81193e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,7.77678e+09,7.77109e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.37263e+10,1.37173e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.14772e+10,1.14691e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,5.46805e+09,5.462e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,8.92207e+09,8.91141e+09,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,1.60049e+10,1.59871e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,1.63226e+10,1.63023e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,2.63201e+10,2.62908e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,2.64478e+10,2.6416e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,4.48109e+10,4.47656e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,6.68833e+10,6.6827e+10,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,6.5166e+10,6.51047e+10,ns,,,,,,0,0,9e+07,1
