Data structureconstruction time: 1763558070849 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4607471,151.005,152.092,ns,,,,,,0,0,1,9.66257e+14
"BM_run/2",156506,4464.54,4469.03,ns,,,,,,0,0,2,2.17283e+12
"BM_run/3",82430,8196.38,8193.03,ns,,,,,,0,0,3,1.24209e+11
"BM_run/4",33721,20743.8,20726.3,ns,,,,,,0,0,4,1.22902e+10
"BM_run/5",31684,22224.6,22206,ns,,,,,,0,0,5,4.20639e+09
"BM_run/6",25500,27815.4,27791.2,ns,,,,,,0,0,6,1.28123e+09
"BM_run/7",23198,29947.9,29921.9,ns,,,,,,0,0,7,3.33873e+08
"BM_run/8",20102,34632,34601.2,ns,,,,,,0,0,8,1.22688e+08
"BM_run/9",22306,31108.5,31081.6,ns,,,,,,0,0,9,6.17158e+07
"BM_run/10",19557,35939.1,35909.1,ns,,,,,,0,0,10,2.7656e+07
"BM_run/20",10899,65549.7,65493.8,ns,,,,,,0,0,20,579683
"BM_run/30",7964,85971.4,85898,ns,,,,,,0,0,30,348163
"BM_run/40",6677,104981,104889,ns,,,,,,0,0,40,145103
"BM_run/50",5688,123501,123396,ns,,,,,,0,0,50,55159
"BM_run/60",4939,143903,143771,ns,,,,,,0,0,60,27165
"BM_run/70",4364,163040,162899,ns,,,,,,0,0,70,8203
"BM_run/80",3967,180493,180331,ns,,,,,,0,0,80,6288
"BM_run/90",3517,197175,196996,ns,,,,,,0,0,90,6133
"BM_run/100",3164,216342,216154,ns,,,,,,0,0,100,5008
"BM_run/200",1759,389711,389389,ns,,,,,,0,0,200,4088
"BM_run/300",1245,564745,564277,ns,,,,,,0,0,300,2138
"BM_run/400",979,747917,747294,ns,,,,,,0,0,400,1373
"BM_run/500",801,928982,928210,ns,,,,,,0,0,500,1129
"BM_run/600",642,1.07375e+06,1.07285e+06,ns,,,,,,0,0,600,901
"BM_run/700",508,1.32804e+06,1.32696e+06,ns,,,,,,0,0,700,681
"BM_run/800",496,1.4385e+06,1.43728e+06,ns,,,,,,0,0,800,700
"BM_run/900",436,1.63798e+06,1.63659e+06,ns,,,,,,0,0,900,595
"BM_run/1000",371,1.7386e+06,1.73708e+06,ns,,,,,,0,0,1000,506
"BM_run/2000",182,3.60228e+06,3.59916e+06,ns,,,,,,0,0,2000,233
"BM_run/3000",100,5.46901e+06,5.46444e+06,ns,,,,,,0,0,3000,127
"BM_run/4000",85,6.36361e+06,6.35778e+06,ns,,,,,,0,0,4000,110
"BM_run/5000",107,7.50146e+06,7.49485e+06,ns,,,,,,0,0,5000,141
"BM_run/6000",80,9.83778e+06,9.82902e+06,ns,,,,,,0,0,6000,98
"BM_run/7000",56,1.28526e+07,1.28421e+07,ns,,,,,,0,0,7000,67
"BM_run/8000",59,1.5236e+07,1.52234e+07,ns,,,,,,0,0,8000,73
"BM_run/9000",52,1.48492e+07,1.48361e+07,ns,,,,,,0,0,9000,57
"BM_run/10000",45,1.71852e+07,1.71704e+07,ns,,,,,,0,0,10000,56
"BM_run/20000",21,3.11138e+07,3.1087e+07,ns,,,,,,0,0,20000,24
"BM_run/30000",17,4.72097e+07,4.71674e+07,ns,,,,,,0,0,30000,18
"BM_run/40000",13,6.70216e+07,6.69626e+07,ns,,,,,,0,0,40000,13
"BM_run/50000",10,8.61977e+07,8.61222e+07,ns,,,,,,0,0,50000,11
"BM_run/60000",11,1.24173e+08,1.24073e+08,ns,,,,,,0,0,60000,11
"BM_run/70000",9,2.37022e+08,2.36853e+08,ns,,,,,,0,0,70000,9
"BM_run/80000",8,1.68088e+08,1.67949e+08,ns,,,,,,0,0,80000,10
"BM_run/90000",7,1.84475e+08,1.84328e+08,ns,,,,,,0,0,90000,7
"BM_run/100000",5,1.07275e+08,1.07154e+08,ns,,,,,,0,0,100000,6
"BM_run/200000",4,2.64216e+08,2.63948e+08,ns,,,,,,0,0,200000,4
"BM_run/300000",2,6.28313e+08,6.278e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",2,6.14206e+08,6.13622e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,6.19744e+08,6.19082e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,6.09656e+08,6.08975e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,7.42182e+08,7.41309e+08,ns,,,,,,0,0,700000,1
