Data structureconstruction time: 1397788362191 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4821969,144.149,145.086,ns,,,,,,0,0,1,1.01124e+15
"BM_run/2",435445,1605.92,1606.39,ns,,,,,,0,0,2,5.40451e+12
"BM_run/3",146343,4772.76,4776.62,ns,,,,,,0,0,3,1.09966e+11
"BM_run/4",60635,11431.9,11429.2,ns,,,,,,0,0,4,2.88354e+09
"BM_run/5",32386,21542,21529.6,ns,,,,,,0,0,5,1.12197e+08
"BM_run/6",19751,35428.1,35396.3,ns,,,,,,0,0,6,1.21552e+07
"BM_run/7",13593,52047.4,51990.9,ns,,,,,,0,0,7,5.03628e+06
"BM_run/8",11362,62032,61968.6,ns,,,,,,0,0,8,3.5154e+06
"BM_run/9",10024,69297.3,69232,ns,,,,,,0,0,9,2.64616e+06
"BM_run/10",9538,73873.2,73789.2,ns,,,,,,0,0,10,2.14294e+06
"BM_run/20",7043,98468,98370,ns,,,,,,0,0,20,638505
"BM_run/30",5630,121506,121384,ns,,,,,,0,0,30,313985
"BM_run/40",5007,140268,140110,ns,,,,,,0,0,40,171753
"BM_run/50",4280,162526,162353,ns,,,,,,0,0,50,126051
"BM_run/60",3760,185263,185055,ns,,,,,,0,0,60,103578
"BM_run/70",3396,206576,206313,ns,,,,,,0,0,70,77213
"BM_run/80",3173,223698,223430,ns,,,,,,0,0,80,55741
"BM_run/90",2880,245891,245602,ns,,,,,,0,0,90,64182
"BM_run/100",2697,265508,265167,ns,,,,,,0,0,100,49251
"BM_run/200",1592,442197,441711,ns,,,,,,0,0,200,16744
"BM_run/300",1183,624355,623653,ns,,,,,,0,0,300,9358
"BM_run/400",855,784359,783478,ns,,,,,,0,0,400,5952
"BM_run/500",717,972519,971631,ns,,,,,,0,0,500,4738
"BM_run/600",638,1.10454e+06,1.10332e+06,ns,,,,,,0,0,600,4103
"BM_run/700",523,1.26345e+06,1.26213e+06,ns,,,,,,0,0,700,3172
"BM_run/800",499,1.45637e+06,1.45486e+06,ns,,,,,,0,0,800,2561
"BM_run/900",426,1.62126e+06,1.61957e+06,ns,,,,,,0,0,900,2248
"BM_run/1000",396,1.82001e+06,1.81808e+06,ns,,,,,,0,0,1000,2079
"BM_run/2000",206,3.7218e+06,3.7183e+06,ns,,,,,,0,0,2000,698
"BM_run/3000",100,5.91944e+06,5.91434e+06,ns,,,,,,0,0,3000,257
"BM_run/4000",119,7.19039e+06,7.18392e+06,ns,,,,,,0,0,4000,120
"BM_run/5000",77,8.57133e+06,8.56296e+06,ns,,,,,,0,0,5000,82
"BM_run/6000",77,9.83604e+06,9.82669e+06,ns,,,,,,0,0,6000,78
"BM_run/7000",51,1.40896e+07,1.40781e+07,ns,,,,,,0,0,7000,51
"BM_run/8000",53,1.53333e+07,1.53205e+07,ns,,,,,,0,0,8000,53
"BM_run/9000",71,1.53966e+07,1.53834e+07,ns,,,,,,0,0,9000,104
"BM_run/10000",49,1.86155e+07,1.86001e+07,ns,,,,,,0,0,10000,50
"BM_run/20000",25,3.47845e+07,3.47514e+07,ns,,,,,,0,0,20000,25
"BM_run/30000",10,6.50631e+07,6.50027e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",11,5.93708e+07,5.93028e+07,ns,,,,,,0,0,40000,11
"BM_run/50000",10,7.59656e+07,7.58869e+07,ns,,,,,,0,0,50000,10
"BM_run/60000",10,1.17267e+08,1.1712e+08,ns,,,,,,0,0,60000,10
"BM_run/70000",11,1.37435e+08,1.37296e+08,ns,,,,,,0,0,70000,11
"BM_run/80000",6,1.74697e+08,1.7453e+08,ns,,,,,,0,0,80000,6
"BM_run/90000",5,1.48414e+08,1.48262e+08,ns,,,,,,0,0,90000,5
"BM_run/100000",9,1.35258e+08,1.35109e+08,ns,,,,,,0,0,100000,9
"BM_run/200000",4,2.44582e+08,2.44357e+08,ns,,,,,,0,0,200000,4
"BM_run/300000",2,4.22744e+08,4.22373e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",2,6.30172e+08,6.29657e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,7.58216e+08,7.57451e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,1.06992e+09,1.06888e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,5.75019e+08,5.74253e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",1,7.82354e+08,7.81294e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,1.13395e+09,1.13272e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,2.10935e+09,2.10753e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,3.39537e+09,3.39231e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,3.7807e+09,3.77637e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.48153e+09,3.47763e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,8.96035e+09,8.95291e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,5.72285e+09,5.71581e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.01485e+10,1.01391e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,9.10588e+09,9.09569e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.52282e+10,1.5216e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,3.09918e+10,3.097e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,5.54611e+10,5.54198e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,7.24875e+10,7.24288e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,7.79651e+10,7.79013e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,7.41182e+10,7.40433e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,2.02531e+11,2.02386e+11,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,1.28302e+11,1.28203e+11,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.12903e+11,1.12803e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,2.35901e+11,2.35744e+11,ns,,,,,,0,0,9e+07,1
