Data structureconstruction time: 1469993494420 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4614918,150.469,151.493,ns,,,,,,0,0,1,9.67818e+14
"BM_run/2",170366,4099.24,4106.33,ns,,,,,,0,0,2,2.11785e+12
"BM_run/3",93198,7214.74,7214.58,ns,,,,,,0,0,3,7.01957e+10
"BM_run/4",32226,21674.4,21661.1,ns,,,,,,0,0,4,1.51708e+09
"BM_run/5",33148,21515.8,21501.8,ns,,,,,,0,0,5,1.1579e+08
"BM_run/6",27426,25376.5,25358.5,ns,,,,,,0,0,6,1.72899e+07
"BM_run/7",24131,28914.6,28892.4,ns,,,,,,0,0,7,8.35302e+06
"BM_run/8",19458,35875,35846.6,ns,,,,,,0,0,8,5.69049e+06
"BM_run/9",18301,38228.8,38197.6,ns,,,,,,0,0,9,4.76322e+06
"BM_run/10",16860,41048.4,41015.5,ns,,,,,,0,0,10,3.98173e+06
"BM_run/20",11883,59034.1,58984.3,ns,,,,,,0,0,20,1.21402e+06
"BM_run/30",9065,76765.7,76701.3,ns,,,,,,0,0,30,523017
"BM_run/40",7338,93519.6,93439,ns,,,,,,0,0,40,266879
"BM_run/50",6445,108489,108399,ns,,,,,,0,0,50,182172
"BM_run/60",5813,125240,125134,ns,,,,,,0,0,60,145918
"BM_run/70",5477,131448,131341,ns,,,,,,0,0,70,134392
"BM_run/80",4602,148670,148545,ns,,,,,,0,0,80,99105
"BM_run/90",4176,167342,167204,ns,,,,,,0,0,90,83477
"BM_run/100",3923,178047,177904,ns,,,,,,0,0,100,78993
"BM_run/200",2029,333057,332796,ns,,,,,,0,0,200,27945
"BM_run/300",1405,460723,460339,ns,,,,,,0,0,300,17185
"BM_run/400",1089,659053,658550,ns,,,,,,0,0,400,6788
"BM_run/500",819,824551,823941,ns,,,,,,0,0,500,4971
"BM_run/600",714,950251,949485,ns,,,,,,0,0,600,7343
"BM_run/700",612,1.09646e+06,1.09563e+06,ns,,,,,,0,0,700,1445
"BM_run/800",533,1.25576e+06,1.25476e+06,ns,,,,,,0,0,800,3388
"BM_run/900",499,1.48489e+06,1.48373e+06,ns,,,,,,0,0,900,1946
"BM_run/1000",372,1.64556e+06,1.64428e+06,ns,,,,,,0,0,1000,1275
"BM_run/2000",186,3.62209e+06,3.61939e+06,ns,,,,,,0,0,2000,265
"BM_run/3000",129,4.97921e+06,4.97536e+06,ns,,,,,,0,0,3000,198
"BM_run/4000",105,7.42426e+06,7.41822e+06,ns,,,,,,0,0,4000,105
"BM_run/5000",116,8.38665e+06,8.38007e+06,ns,,,,,,0,0,5000,126
"BM_run/6000",65,1.0062e+07,1.00537e+07,ns,,,,,,0,0,6000,67
"BM_run/7000",85,1.17632e+07,1.17538e+07,ns,,,,,,0,0,7000,85
"BM_run/8000",40,1.44782e+07,1.44666e+07,ns,,,,,,0,0,8000,41
"BM_run/9000",53,1.65155e+07,1.65027e+07,ns,,,,,,0,0,9000,81
"BM_run/10000",39,1.60804e+07,1.60671e+07,ns,,,,,,0,0,10000,39
"BM_run/20000",12,5.01783e+07,5.0142e+07,ns,,,,,,0,0,20000,12
"BM_run/30000",13,4.96649e+07,4.96249e+07,ns,,,,,,0,0,30000,13
"BM_run/40000",10,1.21966e+08,1.21879e+08,ns,,,,,,0,0,40000,10
"BM_run/50000",8,6.3794e+07,6.3734e+07,ns,,,,,,0,0,50000,8
"BM_run/60000",10,1.00201e+08,1.00116e+08,ns,,,,,,0,0,60000,10
"BM_run/70000",8,1.17832e+08,1.17731e+08,ns,,,,,,0,0,70000,8
"BM_run/80000",8,1.48401e+08,1.48284e+08,ns,,,,,,0,0,80000,8
"BM_run/90000",8,1.19597e+08,1.19489e+08,ns,,,,,,0,0,90000,8
"BM_run/100000",4,3.95328e+08,3.95058e+08,ns,,,,,,0,0,100000,4
"BM_run/200000",5,2.80458e+08,2.80202e+08,ns,,,,,,0,0,200000,5
"BM_run/300000",2,7.18232e+08,7.17724e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",2,5.03099e+08,5.02666e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,5.16908e+08,5.16331e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",2,1.18231e+09,1.18138e+09,ns,,,,,,0,0,600000,2
"BM_run/700000",2,6.98858e+08,6.98066e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",1,9.35061e+08,9.3408e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,2.0742e+09,2.0727e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,1.8893e+09,1.88783e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,1.32518e+10,1.32438e+10,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,3.53724e+09,3.53368e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,6.45147e+09,6.44625e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,3.95312e+09,3.94886e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.29572e+10,1.29483e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,9.80233e+09,9.79297e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.09547e+10,1.09445e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,8.99195e+09,8.98152e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,2.64964e+10,2.64788e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,4.2296e+10,4.22648e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,8.55281e+10,8.54707e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,4.19889e+10,4.19446e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,1.26203e+11,1.26118e+11,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,5.03962e+10,5.03397e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,6.03115e+10,6.02433e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,2.63347e+11,2.63177e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,8.33775e+10,8.32857e+10,ns,,,,,,0,0,9e+07,1
