Data structureconstruction time: 1415639400042 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4621111,150.48,151.305,ns,,,,,,0,0,1,9.69117e+14
"BM_run/2",178967,3904.71,3910.14,ns,,,,,,0,0,2,2.22422e+12
"BM_run/3",93363,7284.99,7285.15,ns,,,,,,0,0,3,7.04092e+10
"BM_run/4",32564,21670.2,21656.2,ns,,,,,,0,0,4,1.52964e+09
"BM_run/5",32014,21777.2,21762,ns,,,,,,0,0,5,1.11776e+08
"BM_run/6",26728,26474.8,26453.5,ns,,,,,,0,0,6,1.65416e+07
"BM_run/7",23258,30514.2,30489.6,ns,,,,,,0,0,7,8.26168e+06
"BM_run/8",18859,37467.6,37436.6,ns,,,,,,0,0,8,5.25296e+06
"BM_run/9",17741,39298.1,39267,ns,,,,,,0,0,9,4.8019e+06
"BM_run/10",16577,42161,42126.5,ns,,,,,,0,0,10,3.86499e+06
"BM_run/20",11666,60046.6,59994.5,ns,,,,,,0,0,20,1.11851e+06
"BM_run/30",8936,78203.6,78131.4,ns,,,,,,0,0,30,503841
"BM_run/40",7470,94704.1,94622.4,ns,,,,,,0,0,40,268657
"BM_run/50",6441,108285,108193,ns,,,,,,0,0,50,203153
"BM_run/60",5588,125201,125095,ns,,,,,,0,0,60,129619
"BM_run/70",5237,133252,133137,ns,,,,,,0,0,70,132218
"BM_run/80",4604,149573,149449,ns,,,,,,0,0,80,101809
"BM_run/90",4186,166477,166338,ns,,,,,,0,0,90,81368
"BM_run/100",3900,178000,177850,ns,,,,,,0,0,100,70428
"BM_run/200",2107,333697,333430,ns,,,,,,0,0,200,29606
"BM_run/300",1470,490431,490037,ns,,,,,,0,0,300,19350
"BM_run/400",1103,644151,643595,ns,,,,,,0,0,400,10565
"BM_run/500",1042,789664,789028,ns,,,,,,0,0,500,6139
"BM_run/600",657,987519,986736,ns,,,,,,0,0,600,4825
"BM_run/700",525,1.149e+06,1.14809e+06,ns,,,,,,0,0,700,4333
"BM_run/800",540,1.32283e+06,1.32177e+06,ns,,,,,,0,0,800,3822
"BM_run/900",453,1.46224e+06,1.46105e+06,ns,,,,,,0,0,900,2399
"BM_run/1000",439,1.64318e+06,1.64185e+06,ns,,,,,,0,0,1000,2089
