Data structureconstruction time: 778522981540 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4613991,150.573,151.436,ns,,,,,,0,0,1,9.67624e+14
"BM_run/2",231546,3015.11,3019.67,ns,,,,,,0,0,2,1.21397e+13
"BM_run/3",255498,2736.94,2740.55,ns,,,,,,0,0,3,3.34886e+12
"BM_run/4",121367,5762.19,5764.76,ns,,,,,,0,0,4,3.97695e+11
"BM_run/5",145272,4806.57,4809.11,ns,,,,,,0,0,5,1.19007e+11
"BM_run/6",71197,9597.62,9594.89,ns,,,,,,0,0,6,1.45811e+10
"BM_run/7",47770,14537.1,14529.8,ns,,,,,,0,0,7,2.44584e+09
"BM_run/8",36786,18991,18979.1,ns,,,,,,0,0,8,4.70897e+08
"BM_run/9",51884,13428.5,13420.7,ns,,,,,,0,0,9,1.66102e+08
"BM_run/10",43251,16174.5,16164.3,ns,,,,,,0,0,10,3.46407e+07
"BM_run/20",19944,35025.3,34997.7,ns,,,,,,0,0,20,19962
"BM_run/30",15724,44462.9,44427.4,ns,,,,,,0,0,30,15724
"BM_run/40",13239,53955.6,53907.8,ns,,,,,,0,0,40,13239
"BM_run/50",11152,62756.8,62706.3,ns,,,,,,0,0,50,11152
"BM_run/60",10147,71280.3,71219.4,ns,,,,,,0,0,60,10147
"BM_run/70",8880,80027.5,79958.5,ns,,,,,,0,0,70,8880
"BM_run/80",7890,90230.5,90154.9,ns,,,,,,0,0,80,7890
"BM_run/90",7238,97399.8,97317.2,ns,,,,,,0,0,90,7238
"BM_run/100",6510,107095,107000,ns,,,,,,0,0,100,6510
"BM_run/200",3605,192791,192620,ns,,,,,,0,0,200,3605
"BM_run/300",2489,277065,276828,ns,,,,,,0,0,300,2489
"BM_run/400",1894,369189,368872,ns,,,,,,0,0,400,1894
"BM_run/500",1555,466093,465696,ns,,,,,,0,0,500,1555
"BM_run/600",1372,525994,525530,ns,,,,,,0,0,600,1372
"BM_run/700",1118,631700,631154,ns,,,,,,0,0,700,1118
"BM_run/800",1047,700548,699943,ns,,,,,,0,0,800,1047
"BM_run/900",927,787268,786577,ns,,,,,,0,0,900,927
"BM_run/1000",803,853174,852434,ns,,,,,,0,0,1000,803
"BM_run/2000",385,1.74424e+06,1.74262e+06,ns,,,,,,0,0,2000,385
"BM_run/3000",275,2.5879e+06,2.58552e+06,ns,,,,,,0,0,3000,275
"BM_run/4000",213,3.45213e+06,3.44888e+06,ns,,,,,,0,0,4000,213
"BM_run/5000",168,4.51646e+06,4.51228e+06,ns,,,,,,0,0,5000,168
"BM_run/6000",121,5.19737e+06,5.19238e+06,ns,,,,,,0,0,6000,121
"BM_run/7000",101,5.42333e+06,5.41796e+06,ns,,,,,,0,0,7000,101
"BM_run/8000",100,6.39351e+06,6.38749e+06,ns,,,,,,0,0,8000,100
"BM_run/9000",72,7.78602e+06,7.77853e+06,ns,,,,,,0,0,9000,72
"BM_run/10000",96,9.49981e+06,9.49122e+06,ns,,,,,,0,0,10000,96
"BM_run/20000",31,1.7581e+07,1.75647e+07,ns,,,,,,0,0,20000,31
"BM_run/30000",25,2.59163e+07,2.58909e+07,ns,,,,,,0,0,30000,25
"BM_run/40000",22,3.5343e+07,3.53089e+07,ns,,,,,,0,0,40000,22
"BM_run/50000",19,4.87684e+07,4.87225e+07,ns,,,,,,0,0,50000,19
"BM_run/60000",21,4.10192e+07,4.09735e+07,ns,,,,,,0,0,60000,21
"BM_run/70000",8,7.43642e+07,7.43e+07,ns,,,,,,0,0,70000,8
"BM_run/80000",12,8.11031e+07,8.10287e+07,ns,,,,,,0,0,80000,12
"BM_run/90000",9,9.15712e+07,9.14845e+07,ns,,,,,,0,0,90000,9
"BM_run/100000",10,8.6286e+07,8.61967e+07,ns,,,,,,0,0,100000,10
"BM_run/200000",4,1.42831e+08,1.42679e+08,ns,,,,,,0,0,200000,4
"BM_run/300000",5,2.52055e+08,2.51807e+08,ns,,,,,,0,0,300000,5
"BM_run/400000",3,4.02989e+08,4.02616e+08,ns,,,,,,0,0,400000,3
"BM_run/500000",2,3.36604e+08,3.36205e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",1,6.08579e+08,6.07997e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,9.0086e+08,9.00135e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",1,1.81474e+09,1.81353e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",2,8.47977e+08,8.47212e+08,ns,,,,,,0,0,900000,2
"BM_run/1000000",1,1.01316e+09,1.01221e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,2.40361e+09,2.40157e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,3.81986e+09,3.81663e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,4.50128e+09,4.49714e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,2.31352e+09,2.31056e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,3.99464e+09,3.99001e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,3.0031e+09,2.99971e+09,ns,,,,,,0,0,7e+06,1
