Data structureconstruction time: 781600945235 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4643480,148.541,149.662,ns,,,,,,0,0,1,9.73808e+14
"BM_run/2",231364,3021.11,3022.99,ns,,,,,,0,0,2,1.21301e+13
"BM_run/3",257011,2718.41,2721.69,ns,,,,,,0,0,3,3.36869e+12
"BM_run/4",125242,5580.79,5581.43,ns,,,,,,0,0,4,4.10392e+11
"BM_run/5",148230,4704.46,4705.92,ns,,,,,,0,0,5,1.2143e+11
"BM_run/6",72584,9456.4,9455.49,ns,,,,,,0,0,6,1.48652e+10
"BM_run/7",48671,14341.8,14336.7,ns,,,,,,0,0,7,2.49201e+09
"BM_run/8",37337,18910.6,18901.3,ns,,,,,,0,0,8,4.77989e+08
"BM_run/9",51691,13419.6,13414.6,ns,,,,,,0,0,9,1.65488e+08
"BM_run/10",43174,16157.4,16149,ns,,,,,,0,0,10,3.45776e+07
"BM_run/20",19886,35201.8,35175.5,ns,,,,,,0,0,20,19900
"BM_run/30",15826,44197.2,44162.9,ns,,,,,,0,0,30,15826
"BM_run/40",13160,54053.4,54011.5,ns,,,,,,0,0,40,13160
"BM_run/50",11243,62997.3,62947.8,ns,,,,,,0,0,50,11243
"BM_run/60",9690,71774.7,71719.3,ns,,,,,,0,0,60,9690
"BM_run/70",8412,80301.8,80237.1,ns,,,,,,0,0,70,8412
"BM_run/80",8044,90233.9,90164.7,ns,,,,,,0,0,80,8044
"BM_run/90",7076,99113,99036,ns,,,,,,0,0,90,7076
"BM_run/100",6593,106666,106581,ns,,,,,,0,0,100,6593
"BM_run/200",3655,192413,192266,ns,,,,,,0,0,200,3655
"BM_run/300",2539,275717,275511,ns,,,,,,0,0,300,2539
"BM_run/400",1973,359292,359024,ns,,,,,,0,0,400,1973
"BM_run/500",1597,441024,440691,ns,,,,,,0,0,500,1597
"BM_run/600",1317,515697,515310,ns,,,,,,0,0,600,1317
"BM_run/700",1207,612589,612113,ns,,,,,,0,0,700,1207
"BM_run/800",969,667551,667039,ns,,,,,,0,0,800,969
"BM_run/900",886,776282,775714,ns,,,,,,0,0,900,886
"BM_run/1000",818,828275,827640,ns,,,,,,0,0,1000,818
"BM_run/2000",382,1.67638e+06,1.6751e+06,ns,,,,,,0,0,2000,382
"BM_run/3000",273,2.46527e+06,2.46333e+06,ns,,,,,,0,0,3000,273
"BM_run/4000",206,3.32039e+06,3.31771e+06,ns,,,,,,0,0,4000,206
"BM_run/5000",167,3.99985e+06,3.99655e+06,ns,,,,,,0,0,5000,167
"BM_run/6000",97,5.52437e+06,5.52012e+06,ns,,,,,,0,0,6000,97
"BM_run/7000",112,5.79104e+06,5.78633e+06,ns,,,,,,0,0,7000,112
"BM_run/8000",106,6.5438e+06,6.53833e+06,ns,,,,,,0,0,8000,106
"BM_run/9000",129,7.97003e+06,7.96359e+06,ns,,,,,,0,0,9000,129
"BM_run/10000",92,8.28391e+06,8.27709e+06,ns,,,,,,0,0,10000,92
"BM_run/20000",49,1.62185e+07,1.62054e+07,ns,,,,,,0,0,20000,49
"BM_run/30000",28,2.14285e+07,2.14099e+07,ns,,,,,,0,0,30000,28
"BM_run/40000",22,2.95471e+07,2.95225e+07,ns,,,,,,0,0,40000,22
"BM_run/50000",21,3.91874e+07,3.91555e+07,ns,,,,,,0,0,50000,21
"BM_run/60000",15,4.54072e+07,4.53683e+07,ns,,,,,,0,0,60000,15
"BM_run/70000",16,5.36145e+07,5.357e+07,ns,,,,,,0,0,70000,16
"BM_run/80000",14,5.78424e+07,5.77924e+07,ns,,,,,,0,0,80000,14
"BM_run/90000",10,5.97427e+07,5.96876e+07,ns,,,,,,0,0,90000,10
"BM_run/100000",10,1.13918e+08,1.13837e+08,ns,,,,,,0,0,100000,10
"BM_run/200000",8,1.68447e+08,1.68311e+08,ns,,,,,,0,0,200000,8
"BM_run/300000",5,2.63532e+08,2.63329e+08,ns,,,,,,0,0,300000,5
"BM_run/400000",2,2.5036e+08,2.50132e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",2,3.32264e+08,3.31972e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",3,3.42801e+08,3.42469e+08,ns,,,,,,0,0,600000,3
"BM_run/700000",2,4.76974e+08,4.76539e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",2,6.80521e+08,6.7998e+08,ns,,,,,,0,0,800000,2
"BM_run/900000",2,7.73403e+08,7.72787e+08,ns,,,,,,0,0,900000,2
"BM_run/1000000",1,5.3942e+08,5.38914e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,1.22529e+09,1.22416e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,5.21831e+09,5.21506e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.13011e+09,3.12755e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,3.76793e+09,3.76472e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,2.85299e+09,2.84999e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,3.81264e+09,3.80883e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,5.94653e+09,5.94153e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,4.9433e+09,4.93829e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,4.42668e+09,4.42187e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,2.74243e+10,2.74063e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,4.27944e+10,4.2767e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,4.02195e+10,4.01906e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,4.28091e+10,4.27758e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,3.80886e+10,3.80541e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,5.15232e+10,5.14797e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,4.68334e+10,4.67891e+10,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,1.22196e+11,1.22117e+11,ns,,,,,,0,0,9e+07,1
