Data structureconstruction time: 709970734294 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4826613,143.525,144.376,ns,,,,,,0,0,1,1.01221e+15
"BM_run/2",4552766,153.063,153.626,ns,,,,,,0,0,2,1.53998e+13
"BM_run/3",2038795,345.194,343.144,ns,,,,,,0,0,3,1.11231e+11
"BM_run/4",664837,1058.41,1053.07,ns,,,,,,0,0,4,5.85686e+08
"BM_run/5",378680,1861.19,1853.19,ns,,,,,,0,0,5,5.75247e+06
"BM_run/6",270234,2596.65,2588.45,ns,,,,,,0,0,6,332314
"BM_run/7",210376,3332.05,3324.02,ns,,,,,,0,0,7,211109
"BM_run/8",173028,4058.01,4049.99,ns,,,,,,0,0,8,173041
"BM_run/9",147028,4773.54,4766.24,ns,,,,,,0,0,9,147028
"BM_run/10",127353,5486.93,5479.89,ns,,,,,,0,0,10,127353
"BM_run/20",56155,12476.2,12465.7,ns,,,,,,0,0,20,56155
"BM_run/30",36421,19251.2,19234.2,ns,,,,,,0,0,30,36421
"BM_run/40",27057,25981.7,25956.6,ns,,,,,,0,0,40,27057
"BM_run/50",21434,32578.2,32546.8,ns,,,,,,0,0,50,21434
"BM_run/60",17890,39177.4,39141.2,ns,,,,,,0,0,60,17890
"BM_run/70",15318,45878.5,45834.7,ns,,,,,,0,0,70,15318
"BM_run/80",13336,52382.7,52332,ns,,,,,,0,0,80,13336
"BM_run/90",11939,58894.6,58834.9,ns,,,,,,0,0,90,11939
"BM_run/100",10738,65524.8,65459.5,ns,,,,,,0,0,100,10738
"BM_run/200",5391,130075,129958,ns,,,,,,0,0,200,5391
"BM_run/300",3591,194501,194326,ns,,,,,,0,0,300,3591
"BM_run/400",2707,258830,258585,ns,,,,,,0,0,400,2707
"BM_run/500",2172,322945,322642,ns,,,,,,0,0,500,2172
"BM_run/600",1813,387789,387421,ns,,,,,,0,0,600,1813
"BM_run/700",1555,451856,451430,ns,,,,,,0,0,700,1555
"BM_run/800",1364,515019,514542,ns,,,,,,0,0,800,1364
"BM_run/900",1212,579395,578863,ns,,,,,,0,0,900,1212
"BM_run/1000",1089,643057,642454,ns,,,,,,0,0,1000,1089
"BM_run/2000",545,1.2856e+06,1.28426e+06,ns,,,,,,0,0,2000,545
"BM_run/3000",366,1.92403e+06,1.92197e+06,ns,,,,,,0,0,3000,366
"BM_run/4000",273,2.56778e+06,2.56497e+06,ns,,,,,,0,0,4000,273
"BM_run/5000",218,3.20824e+06,3.20464e+06,ns,,,,,,0,0,5000,218
"BM_run/6000",182,3.84731e+06,3.84293e+06,ns,,,,,,0,0,6000,182
"BM_run/7000",156,4.48383e+06,4.47877e+06,ns,,,,,,0,0,7000,156
"BM_run/8000",136,5.1355e+06,5.12966e+06,ns,,,,,,0,0,8000,136
"BM_run/9000",122,5.76268e+06,5.75619e+06,ns,,,,,,0,0,9000,122
"BM_run/10000",110,6.40552e+06,6.3982e+06,ns,,,,,,0,0,10000,110
"BM_run/20000",55,1.28129e+07,1.27979e+07,ns,,,,,,0,0,20000,55
"BM_run/30000",37,1.9178e+07,1.91559e+07,ns,,,,,,0,0,30000,37
"BM_run/40000",27,2.55842e+07,2.55545e+07,ns,,,,,,0,0,40000,27
"BM_run/50000",22,3.20256e+07,3.19874e+07,ns,,,,,,0,0,50000,22
"BM_run/60000",18,3.83724e+07,3.83283e+07,ns,,,,,,0,0,60000,18
"BM_run/70000",16,4.47876e+07,4.4735e+07,ns,,,,,,0,0,70000,16
"BM_run/80000",14,5.11907e+07,5.11295e+07,ns,,,,,,0,0,80000,14
"BM_run/90000",12,5.75364e+07,5.74684e+07,ns,,,,,,0,0,90000,12
"BM_run/100000",11,6.40162e+07,6.39395e+07,ns,,,,,,0,0,100000,11
"BM_run/200000",5,1.27936e+08,1.27786e+08,ns,,,,,,0,0,200000,5
"BM_run/300000",4,1.92282e+08,1.92054e+08,ns,,,,,,0,0,300000,4
"BM_run/400000",3,2.55501e+08,2.55201e+08,ns,,,,,,0,0,400000,3
"BM_run/500000",2,3.20047e+08,3.19658e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",2,3.84099e+08,3.83639e+08,ns,,,,,,0,0,600000,2
"BM_run/700000",2,4.47075e+08,4.46547e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",1,5.11522e+08,5.10912e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,5.74833e+08,5.74144e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,6.41103e+08,6.40335e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,1.27801e+09,1.2765e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.91825e+09,1.91596e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,2.55942e+09,2.55634e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,3.19671e+09,3.19289e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,3.83609e+09,3.83154e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,4.47386e+09,4.46857e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,5.11444e+09,5.10833e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,5.7546e+09,5.74771e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,6.39514e+09,6.38755e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,1.27943e+10,1.2779e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,1.91853e+10,1.91625e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,2.55729e+10,2.55426e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,3.1973e+10,3.1935e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,3.83667e+10,3.83212e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,4.47632e+10,4.47101e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,5.1152e+10,5.10914e+10,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,5.75398e+10,5.74716e+10,ns,,,,,,0,0,9e+07,1
