Data structureconstruction time: 730659333849 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4641958,149.872,150.795,ns,,,,,,0,0,1,9.73489e+14
"BM_run/2",104221,6678.59,6683.65,ns,,,,,,0,0,2,3.52527e+11
"BM_run/3",27319,25317.3,25297.9,ns,,,,,,0,0,3,1.49049e+09
"BM_run/4",22023,31770.4,31744,ns,,,,,,0,0,4,1.93996e+07
"BM_run/5",22837,30537.3,30514.6,ns,,,,,,0,0,5,347086
"BM_run/6",15010,46489.3,46448.9,ns,,,,,,0,0,6,18410
"BM_run/7",11019,64345.7,64290.4,ns,,,,,,0,0,7,11062
"BM_run/8",9990,70249.4,70185.7,ns,,,,,,0,0,8,9992
"BM_run/9",9416,73705.4,73639.9,ns,,,,,,0,0,9,9416
"BM_run/10",9054,76671.9,76603.6,ns,,,,,,0,0,10,9054
"BM_run/20",6499,110450,110349,ns,,,,,,0,0,20,6499
"BM_run/30",4956,143639,143507,ns,,,,,,0,0,30,4956
"BM_run/40",4019,175645,175495,ns,,,,,,0,0,40,4019
"BM_run/50",3385,204707,204537,ns,,,,,,0,0,50,3385
"BM_run/60",2909,240665,240462,ns,,,,,,0,0,60,2909
"BM_run/70",2551,266943,266724,ns,,,,,,0,0,70,2551
"BM_run/80",2321,298503,298250,ns,,,,,,0,0,80,2321
"BM_run/90",2141,339891,339609,ns,,,,,,0,0,90,2141
"BM_run/100",1936,361101,360809,ns,,,,,,0,0,100,1936
"BM_run/200",1104,656506,656007,ns,,,,,,0,0,200,1104
"BM_run/300",680,976837,976078,ns,,,,,,0,0,300,680
"BM_run/400",572,1.30625e+06,1.30528e+06,ns,,,,,,0,0,400,572
"BM_run/500",451,1.59319e+06,1.592e+06,ns,,,,,,0,0,500,451
"BM_run/600",344,1.79647e+06,1.7951e+06,ns,,,,,,0,0,600,344
"BM_run/700",297,2.29778e+06,2.29608e+06,ns,,,,,,0,0,700,297
"BM_run/800",270,2.54179e+06,2.53987e+06,ns,,,,,,0,0,800,270
"BM_run/900",242,2.77629e+06,2.77414e+06,ns,,,,,,0,0,900,242
"BM_run/1000",227,3.29475e+06,3.2923e+06,ns,,,,,,0,0,1000,227
"BM_run/2000",109,6.69407e+06,6.6891e+06,ns,,,,,,0,0,2000,109
"BM_run/3000",91,9.04499e+06,9.038e+06,ns,,,,,,0,0,3000,91
"BM_run/4000",50,1.22748e+07,1.22654e+07,ns,,,,,,0,0,4000,50
"BM_run/5000",53,1.81982e+07,1.81849e+07,ns,,,,,,0,0,5000,53
"BM_run/6000",37,1.82283e+07,1.82148e+07,ns,,,,,,0,0,6000,37
"BM_run/7000",35,2.21025e+07,2.20856e+07,ns,,,,,,0,0,7000,35
"BM_run/8000",23,2.66612e+07,2.66418e+07,ns,,,,,,0,0,8000,23
"BM_run/9000",22,2.27707e+07,2.27521e+07,ns,,,,,,0,0,9000,22
"BM_run/10000",20,3.27338e+07,3.27094e+07,ns,,,,,,0,0,10000,20
"BM_run/20000",12,6.74632e+07,6.74146e+07,ns,,,,,,0,0,20000,12
"BM_run/30000",12,1.10558e+08,1.10482e+08,ns,,,,,,0,0,30000,12
"BM_run/40000",7,1.81634e+08,1.81508e+08,ns,,,,,,0,0,40000,7
"BM_run/50000",8,1.38489e+08,1.38384e+08,ns,,,,,,0,0,50000,8
"BM_run/60000",6,1.53775e+08,1.53656e+08,ns,,,,,,0,0,60000,6
"BM_run/70000",5,1.82369e+08,1.82224e+08,ns,,,,,,0,0,70000,5
"BM_run/80000",5,3.66292e+08,3.66037e+08,ns,,,,,,0,0,80000,5
"BM_run/90000",3,3.02329e+08,3.02106e+08,ns,,,,,,0,0,90000,3
"BM_run/100000",1,6.85302e+08,6.84869e+08,ns,,,,,,0,0,100000,1
"BM_run/200000",1,6.93912e+08,6.93432e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",1,8.75444e+08,8.74816e+08,ns,,,,,,0,0,300000,1
"BM_run/400000",1,1.0909e+09,1.0901e+09,ns,,,,,,0,0,400000,1
"BM_run/500000",1,7.99373e+08,7.98596e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,2.40884e+09,2.40723e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,1.39433e+09,1.39311e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,2.20358e+09,2.20192e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,2.14238e+09,2.14064e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,1.65252e+09,1.65089e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,5.27654e+09,5.27253e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,2.07684e+10,2.0755e+10,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,1.13019e+10,1.12937e+10,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,8.00991e+09,8.00187e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.19318e+10,1.19214e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.13172e+10,1.13058e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.56682e+10,1.56542e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,3.78848e+10,3.78598e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,5.36307e+10,5.35959e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,4.44507e+10,4.44135e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,6.96824e+10,6.96252e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,8.90439e+10,8.89704e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,8.15218e+10,8.1441e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,1.51279e+11,1.51163e+11,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,1.22354e+11,1.22236e+11,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.32331e+11,1.322e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,3.15836e+11,3.15618e+11,ns,,,,,,0,0,9e+07,1
